SYMBOL,S.No.,Name,Price,P/E,Cap,QtrSV,QtrPV,QoQS,QoQP,Prom.,DII,FII,ExpQV,Down%,PromC,IntCov,3M-RETURN,SECTOR,FNO
PANACEABIO,11.0,Panacea Biotec,555.1,,3400.0,8.63,138.3,10.95,-5.73,72.48,1.49,1.16,2.57,4.61,-0.01,2.63,65.36,Pharmaceuticals,False
KILITCH,7.0,Kilitch Drugs,427.3,38.35,687.18,76.69,222.41,18.33,-34.84,69.23,0.0,0.0,25.73,1.98,0.0,6.89,35.57,Pharmaceuticals,False
TATACONSUM,2.0,Tata Consumer,1149.2,88.65,113713.16,17.35,-8.72,3.71,23.69,33.84,21.96,21.54,15.89,7.87,0.0,13.11,12.19,Plantation Products,True
GRCL,1.0,Gayatri Rubbers,500.0,129.23,286.9,26.53,108.2,0.07,33.68,73.37,0.0,0.0,,4.72,0.0,11.69,8.7,Plantation Products,False
DOMS,1.0,Doms Industries,2836.1,86.45,17211.52,34.85,35.86,9.47,1.12,70.39,15.82,9.9,23.37,8.95,0.0,21.38,14.9,Printing & Stationery,False
MINDSPACE,1.0,Mindspace Busine,390.55,49.79,23791.65,13.53,-38.0,5.64,-33.7,64.45,,,8.22,2.34,0.97,2.6,8.23,REITs,False
BIRET,3.0,Brookfield India,296.0,112.48,17989.47,16.26,3800.0,2.68,235.7,26.45,,,39.79,8.75,-5.27,1.51,2.45,REITs,False
PAGEIND,3.0,Page Industries,46825.0,71.67,52228.04,10.64,51.58,-16.37,-19.86,42.89,27.87,23.58,8.01,6.22,0.0,19.48,14.3,Readymade Garments/ Apparells,True
KITEX,4.0,Kitex Garments,275.95,44.52,5505.21,68.35,170.61,28.0,10.29,56.66,0.87,0.9,59.91,8.02,0.0,16.65,24.72,Readymade Garments/ Apparells,False
NESCO,11.0,NESCO,975.3,17.57,6871.96,16.19,17.27,7.52,2.86,68.54,3.19,4.9,13.09,9.85,0.0,64.89,4.04,Realty,False
531771,8.0,Shraddha Prime,161.3,57.4,651.68,11.97,-12.44,16.41,25.82,75.0,0.0,0.0,278.42,4.27,0.0,1288.0,39.66,Realty,False
511702,7.0,Yogi Ltd,144.6,427.46,624.09,,1242.86,,1205.88,59.0,0.0,0.0,,1.97,-0.02,,48.17,Realty,False
533167,9.0,Coromandel Engg.,66.88,,222.27,-69.06,162.62,-32.8,509.09,73.33,0.0,0.0,-37.25,4.39,-1.22,2.02,36.91,Realty,False
RELIANCE,1.0,Reliance Industr,1452.5,28.19,1965591.11,10.51,2.41,8.92,3.11,50.11,19.36,19.07,7.26,9.72,-0.02,5.73,19.47,Refineries,True
VMM,6.0,Vishal Mega Mart,126.2,91.8,58019.6,23.15,88.03,-18.75,-56.19,74.55,12.22,7.03,,5.26,-1.47,4.16,22.45,Retail,False
MEDPLUS,5.0,Medplus Health,848.05,76.72,10150.61,8.32,234.57,-0.93,18.53,40.34,26.19,15.61,13.69,3.27,-0.04,3.18,13.01,Retail,False
ENTERO,7.0,Entero Healthcar,1483.05,71.61,6452.44,36.91,275.22,4.48,13.1,52.42,9.63,19.92,27.38,6.39,-0.02,4.96,21.14,Retail,False
SHANKARA,4.0,Shankara Build.,728.65,24.14,1766.96,22.08,-17.41,8.11,16.31,49.25,5.03,5.69,16.66,1.93,0.0,3.02,33.56,Retail,False
FOCE,2.0,Foce India,1780.0,49.54,870.94,30.99,32.69,-37.54,-36.01,73.63,0.0,0.0,,1.11,0.0,214.5,13.56,Retail,False
PURPLEUTED,9.0,Purple United,234.75,46.8,225.59,,,,,63.82,1.78,0.0,,9.01,0.0,3.05,65.85,Retail,False
JSWSTEEL,4.0,JSW Steel,1030.55,72.07,252016.26,-1.34,-67.71,4.27,77.97,44.84,10.52,25.78,-2.85,4.13,-0.01,1.61,7.64,Steel,True
APLAPOLLO,2.0,APL Apollo Tubes,1785.0,65.42,49538.12,15.59,71.97,1.4,35.09,28.31,16.74,31.78,15.02,0.83,-0.01,12.11,36.29,Steel,True
SHYAMMETL,3.0,Shyam Metalics,929.3,28.58,25939.73,14.78,1.02,10.31,11.58,74.59,7.68,3.75,14.97,2.88,0.0,7.81,27.69,Steel,False
GALLANTT,5.0,Gallantt Ispat L,466.55,29.66,11256.93,5.24,118.68,18.65,132.5,68.93,0.0,0.04,6.34,5.63,0.0,32.16,50.26,Steel,False
INTERARCH,6.0,Interarch Build.,1804.2,30.38,3002.31,14.96,28.24,12.48,36.43,59.9,6.51,4.7,,6.28,0.0,47.89,30.13,Steel,False
CMNL,7.0,Chaman Metallics,159.5,39.57,384.95,-0.76,-31.14,-5.67,73.31,73.6,0.0,0.0,,8.6,0.0,6.79,15.91,Steel,False
EIDPARRY,4.0,EID Parry,955.0,20.9,16977.82,12.23,64.82,-6.54,-29.76,41.61,13.83,12.17,0.07,4.27,-0.08,6.9,26.33,Sugar,False
BANARISUG,3.0,Bannari Amm.Sug.,4420.5,60.71,5543.18,-45.14,-57.68,-11.04,-15.93,58.7,0.0,0.27,-27.1,1.65,0.0,11.93,22.68,Sugar,False
BHARTIARTL,2.0,Bharti Airtel,1814.6,39.24,1087997.09,27.33,185.61,6.09,-22.68,52.42,19.23,25.41,16.04,5.34,-0.69,2.77,8.74,Telecomm-Service,True
BHARTIHEXA,3.0,Bharti Hexacom,1684.05,62.8,84202.5,22.54,110.42,1.7,79.53,70.0,9.97,4.33,20.73,6.15,0.0,4.0,23.55,Telecomm-Service,False
GRASIM,7.0,Grasim Inds,2791.45,46.7,189959.9,8.85,-40.64,3.66,67.64,43.11,18.24,13.45,10.46,3.0,0.0,1.77,16.18,Textiles,True
SANATHAN,11.0,Sanathan Textile,446.5,28.7,3768.63,-4.78,-0.23,0.13,4.94,78.58,12.1,1.89,,4.59,0.0,10.0,37.52,Textiles,False
FAZE3Q,8.0,Faze Three,620.25,51.58,1508.37,31.7,-23.16,14.43,23.46,57.95,0.26,0.02,18.36,3.24,0.0,3.82,73.1,Textiles,False
PASHUPATI,9.0,Pashupati Cotsp.,650.25,63.51,1026.35,50.34,3572.73,0.0,0.0,65.99,0.0,12.42,,3.67,-1.83,2.25,6.04,Textiles,False
532893,6.0,VTM,231.0,25.3,929.25,102.86,294.79,41.48,86.28,75.0,0.45,0.0,58.75,0.58,0.0,71.43,6.12,Textiles,False
KARNIKA,4.0,Karnika Industri,712.95,55.47,884.02,50.98,129.49,54.36,85.15,73.39,0.0,0.01,,0.0,0.0,7.39,84.93,Textiles,False
539300,15.0,A K Spintex,929.4,70.22,467.64,-6.58,-20.0,-0.23,17.65,70.76,0.0,0.0,-8.86,7.52,0.0,9.17,14.55,Textiles,False
GINNIFILA,13.0,Ginni Filaments,38.15,77.8,326.75,5.81,145.64,4.29,794.2,69.72,0.0,0.02,7.09,5.26,0.0,3.79,57.97,Textiles,False
GODFRYPHLP,2.0,Godfrey Phillips,8739.85,39.45,45441.92,79.76,31.17,-0.97,-11.47,72.58,3.29,9.72,36.87,9.52,0.0,102.84,52.96,Tobacco Products,False
539533,3.0,Elitecon Inter.,364.0,221.24,5818.53,392.37,2858.33,-38.83,-25.11,60.0,0.0,38.3,2615.55,9.52,-15.0,332.5,96.01,Tobacco Products,False
REDINGTON,31.0,Redington,277.6,17.7,21702.05,13.66,17.47,7.31,42.45,0.0,17.87,60.57,7.7,1.54,0.0,7.11,13.88,Trading,False
524743,37.0,Fischer Medical,875.55,2493.82,5586.13,,,-70.37,-200.0,61.8,1.42,5.38,,4.73,-13.11,4.57,23.11,Trading,False
542012,39.0,A-1,515.5,166.54,592.83,82.85,376.19,-1.8,3.09,70.03,0.0,2.94,41.26,5.41,0.0,3.0,19.89,Trading,False
542721,44.0,Anand Rayons,250.0,86.72,374.62,-17.62,10.96,-10.02,-24.3,58.22,0.0,0.0,-2.76,7.25,-13.2,2.01,29.13,Trading,False
GOLDKART,43.0,Goldkart Jewels,206.55,104.43,346.7,30.88,78.31,38.7,-19.13,74.14,0.0,0.0,,6.39,0.0,4.56,-6.37,Trading,False
539788,45.0,Khemani Distrib.,145.6,28.71,334.5,-38.36,-83.78,-9.21,-52.16,75.0,0.0,0.0,,7.61,-0.84,18.69,34.49,Trading,False
MRF,2.0,MRF,141350.0,32.06,59948.57,11.43,29.29,1.06,62.34,27.78,12.22,17.54,11.87,1.74,-0.02,7.75,28.92,Tyre,True
CEATLTD,3.0,CEAT,3889.0,31.93,15731.08,14.33,-11.12,3.66,1.73,47.21,21.52,15.28,10.72,1.87,0.0,3.23,50.7,Tyre,False
