S.No.,Name,Price,P/E,Cap,QtrSV,QtrPV,QoQS,QoQP,Prom.,DII,FII,ExpQV,Down%,PromC,IntCov,3M-RETURN,SYMBOL,SECTOR
1.,Mahickra Chem.,148.75,62.60,120.81,20.37,175.51,29.08,132.76,48.57,0.00,0.59,,0.00,-3.24,3.66,29.58,MAHICKRA,Chemicals
2.,Arunaya Organics,44.30,19.04,77.69,,,,,60.79,3.16,3.18,,0.00,,5.69,,ARUNAYA,Chemicals
3.,Anupam Rasayan,961.85,132.69,10573.73,32.02,53.12,32.72,77.04,61.18,2.25,6.47,-7.59,0.98,0.01,2.86,42.13,ANURAS,Chemicals
4.,Camlin Fine,198.65,,3733.04,12.34,64.89,2.49,93.56,49.10,3.83,1.47,1.53,1.51,1.08,0.99,43.87,CAMLINFINE,Chemicals
5.,Privi Speci.,2340.45,49.49,9142.43,26.67,106.22,24.99,43.82,74.05,1.95,0.40,20.12,1.91,0.00,4.98,48.84,PRIVISCL,Chemicals
6.,Indokem,195.00,173.19,543.81,35.94,469.90,25.41,421.92,68.71,0.20,0.00,11.29,2.01,0.00,6.77,14.20,504092,Chemicals
7.,Bhatia Colour,315.70,129.98,525.13,10.84,38.51,-2.17,3.05,45.85,0.00,0.00,,2.86,0.00,4.76,21.92,543497,Chemicals
8.,Jubilant Agri,1537.60,41.32,2316.71,35.90,-17.16,-2.35,-13.57,74.78,0.08,0.13,,4.50,0.00,10.44,2.03,JUBLCPL,Chemicals
9.,SRF,2923.00,69.27,86644.96,20.83,24.60,23.55,94.06,50.26,18.42,18.28,12.23,5.66,0.00,8.91,4.52,SRF,Chemicals
10.,Deepak Fertiliz.,1348.75,19.53,17026.33,39.21,335.56,-6.11,18.23,45.63,11.33,10.73,8.42,6.55,0.00,4.06,34.19,DEEPAKFERT,Chemicals
11.,Pidilite Inds.,3123.60,75.87,158881.51,8.25,25.89,-6.76,-23.26,69.50,9.43,11.60,6.15,8.53,-0.10,42.89,10.88,PIDILITIND,Chemicals
12.,Kiri Industries,637.65,10.87,3547.20,11.99,31.45,3.25,120.29,31.72,1.20,25.94,8.89,8.89,5.00,0.73,18.63,KIRIINDUS,Chemicals
13.,Navin Fluo.Intl.,4319.30,74.23,21421.90,16.44,34.94,15.63,13.59,28.43,30.04,20.16,14.04,9.54,0.00,5.49,6.86,NAVINFLUOR,Chemicals
14.,Tulasee Bio-Eth.,17.22,,10.15,,50.00,,0.00,48.89,0.00,0.00,,9.65,0.00,,-4.17,524514,Chemicals
15.,Ritesh Intl.,37.20,23.21,31.81,123.09,1583.33,50.68,279.17,43.05,0.07,0.00,58.34,11.24,0.00,7.42,20.96,519097,Chemicals
16.,Shri Ahimsa,153.00,19.18,356.96,,,,,68.68,8.59,3.04,,11.56,-25.55,35.66,,SHRIAHIMSA,Chemicals
17.,Ultramarine Pig.,520.00,23.73,1518.39,17.09,60.10,6.41,8.58,40.61,0.95,1.15,14.95,11.75,-0.25,32.22,0.35,506685,Chemicals
18.,Hilltone Softwar,52.40,121.86,57.28,-7.89,-52.38,-33.01,-9.09,12.84,0.00,0.00,21.61,12.04,0.00,6.00,17.24,544308,Chemicals
19.,Sh. Hari Chem.,152.30,12.60,67.78,5.52,154.81,7.55,18.30,49.25,0.00,0.00,1.98,12.42,0.00,6.90,0.77,524336,Chemicals
20.,Cont. Petroleums,119.95,12.35,66.69,211.77,90.54,33.15,8.46,34.41,0.00,0.00,125.56,12.45,0.00,9.32,4.01,523232,Chemicals
21.,Godrej Industrie,1144.85,39.31,38553.05,26.55,822.49,19.79,33.20,69.64,2.49,6.97,20.39,12.87,3.91,2.17,40.71,GODREJIND,Chemicals
22.,Sudarshan Chem.,1071.20,59.02,8416.72,17.80,38.79,-4.26,-98.29,23.89,23.57,7.96,12.19,13.26,-3.66,4.11,15.61,SUDARSCHEM,Chemicals
23.,Foseco India,4686.20,37.96,2992.84,21.18,36.72,8.82,10.84,74.98,0.57,0.13,12.98,13.63,0.00,729.50,35.31,FOSECOIND,Chemicals
24.,TGV Sraac,104.25,18.02,1116.44,13.14,56.36,6.31,-27.63,63.81,0.02,0.00,-0.30,13.77,0.64,6.17,3.87,507753,Chemicals
25.,TECIL Chemical,37.75,,71.57,,14.29,,25.00,47.71,6.19,0.00,,14.03,0.00,,70.66,TECILCHEM,Chemicals
26.,Nitta Gelatin,770.00,9.33,699.15,-0.94,24.79,-4.06,-19.47,74.48,0.09,0.00,0.10,14.06,0.00,72.90,11.92,506532,Chemicals
27.,Vikram Aroma,127.80,,40.07,30.04,-1200.00,94.39,66.67,65.94,0.00,0.00,,14.14,0.00,-0.50,,544371,Chemicals
28.,Beezaasan Exp.,233.10,62.23,301.19,,,,,70.66,3.29,6.01,,14.40,-25.36,7.06,,544369,Chemicals
29.,Transpek Inds.,1622.80,18.62,906.44,11.50,241.31,-2.81,80.75,57.47,1.86,0.03,13.92,14.41,0.00,9.79,11.66,506687,Chemicals
30.,Vikram Thermo,182.00,17.85,570.70,40.94,56.85,1.96,2.86,65.94,0.00,0.00,19.61,15.92,0.00,31.57,-7.63,530477,Chemicals
31.,ARCL Organics,272.05,17.65,217.64,25.48,11.11,16.59,212.85,69.22,0.75,0.00,31.76,16.18,0.00,7.41,36.30,543993,Chemicals
32.,Ambica Agarbat.,31.00,20.09,53.25,24.61,149.35,7.58,-59.14,43.41,0.00,0.00,13.47,16.19,0.00,1.17,5.89,AMBICAAGAR,Chemicals
33.,Atul,6770.80,41.21,19934.43,19.76,116.57,2.46,11.13,45.18,23.62,9.79,18.33,17.23,0.01,35.33,26.24,ATUL,Chemicals
34.,Tanfac Inds.,3275.00,37.05,3266.79,67.25,79.48,-3.50,-34.66,51.81,0.42,0.14,59.38,17.51,0.00,22.22,-2.54,506854,Chemicals
35.,Bodal Chemicals,72.50,132.89,913.11,30.99,537.76,3.46,2358.33,57.32,0.00,0.32,22.70,17.61,-0.07,1.48,18.69,BODALCHEM,Chemicals
36.,Gulf Oil Lubric.,1224.95,16.93,6039.57,10.72,21.59,6.54,16.26,67.14,9.53,7.52,8.37,19.07,0.00,10.26,13.00,GULFOILLUB,Chemicals
37.,Vishnu Chemicals,451.60,24.00,3039.95,30.72,40.43,5.77,13.20,69.21,6.72,0.83,19.80,19.64,0.85,7.38,5.28,VISHNU,Chemicals
38.,Ushanti Colour,55.00,,61.80,78.10,-100.00,23.15,3.73,67.86,0.00,0.00,,19.64,0.00,-0.26,-8.41,UCL,Chemicals
39.,India Gelatine,359.80,15.27,255.18,9.84,-54.42,23.06,15.21,61.48,0.79,0.62,-6.00,20.01,14.14,36.42,-5.40,531253,Chemicals
40.,Heubach Colorant,587.00,29.06,1354.90,20.95,169.48,-2.49,-6.46,54.37,10.62,1.15,7.82,20.02,0.00,37.31,5.53,HEUBACHIND,Chemicals
41.,Gujarat Fluoroch,3903.25,94.04,42877.21,15.73,57.50,-3.37,4.13,62.57,10.74,4.63,4.09,20.03,-0.01,5.17,4.73,FLUOROCHEM,Chemicals
42.,Jyoti Resins,1303.55,21.17,1564.26,10.35,5.38,10.58,3.78,50.83,0.77,0.10,10.59,20.27,0.00,387.29,1.82,514448,Chemicals
43.,Mangalam Organic,573.35,38.97,491.04,42.52,109.80,20.88,41.21,58.65,1.42,0.00,11.96,20.37,0.00,1.87,43.23,MANORG,Chemicals
44.,Jaysynth Orgo,23.14,20.48,312.19,20.71,80.79,2.25,42.21,73.68,0.00,0.01,4663.64,20.75,0.00,14.46,-10.16,524592,Chemicals
45.,DIC India,659.95,34.79,605.77,5.85,-37.59,-4.11,-63.78,71.75,0.00,0.00,8.14,21.43,0.00,11.67,5.30,DICIND,Chemicals
46.,GHCL,611.40,9.38,5854.46,-5.09,20.35,0.35,-10.78,19.04,10.09,26.06,-7.06,21.54,0.00,52.27,-2.84,GHCL,Chemicals
47.,Ducol Organics,128.95,39.92,209.59,2.69,45.86,1.98,1.15,51.33,0.00,0.00,,21.56,-6.05,4.60,7.01,DUCOL,Chemicals
48.,Jubilant Ingrev.,689.70,43.73,10985.59,-2.16,153.16,-0.52,6.73,51.48,15.91,7.12,1.29,22.07,0.00,8.32,9.07,JUBLINGREA,Chemicals
49.,Vidhi Specialty,444.65,50.97,2220.80,40.24,13.37,11.18,-5.12,64.27,0.00,0.11,30.30,22.26,0.00,18.73,-2.58,VIDHIING,Chemicals
50.,Yug Decor,35.90,,38.73,12.66,-175.00,11.78,-220.00,69.48,0.00,0.00,,23.54,0.00,-1.89,-4.27,540550,Chemicals
1.,Wagons Learning,,22.80,127.92,,,,,73.24,,,,,,,,id,Computer Education
2.,Vinsys IT Serv.,404.20,22.97,593.28,16.25,36.41,0.94,-26.53,68.15,0.86,6.90,,10.18,0.02,12.79,5.00,VINSYS,Computer Education
3.,Jetking Infotrai,146.90,14.79,86.78,17.70,255.93,-7.54,291.49,50.38,1.37,0.00,8.06,10.78,0.00,57.75,67.11,517063,Computer Education
4.,Zee Learn,7.83,7.01,256.11,10.35,-93.81,28.44,6.70,15.01,0.00,6.41,-3.95,31.91,0.00,0.68,-6.42,ZEELEARN,Computer Education
5.,Aptech,168.45,50.10,977.01,14.06,13.56,7.69,37.99,47.35,2.95,0.40,6.88,33.68,0.00,72.62,35.54,APTECHT,Computer Education
6.,NIIT Learning,352.00,20.34,4796.20,7.99,-9.53,2.59,-21.08,34.48,21.88,17.56,6.44,35.06,-0.04,12.59,-24.29,NIITMTS,Computer Education
7.,NIIT,139.60,39.63,1893.19,16.07,19.10,-12.05,-2.07,37.19,11.51,12.50,18.29,40.29,-0.03,81.19,11.68,NIITLTD,Computer Education
8.,Usha Mart. Edu.,5.87,110.74,15.50,-58.62,50.00,-36.84,650.00,39.82,1.28,1.74,89.21,42.95,0.00,6.33,-10.54,UMESLTD,Computer Education
9.,Educomp Sol.,1.91,,23.39,-7.95,-627.54,-25.69,-242.44,44.77,0.11,0.00,-16.89,45.43,0.00,-12.45,4.95,EDUCOMP,Computer Education
10.,Compucom Soft.,20.56,200.85,162.68,-64.26,-67.33,-5.37,-68.87,70.88,0.02,0.00,-57.16,50.64,0.04,1.10,-1.22,COMPUSOFT,Computer Education
11.,IEC Education,15.01,,22.91,,50.00,,40.00,66.49,0.00,0.00,,61.96,0.00,,-11.65,531840,Computer Education
12.,BITS,12.47,871.96,139.52,34.78,50.00,14.81,800.00,65.07,0.07,0.00,24.94,67.46,0.00,,-16.22,526709,Computer Education
13.,G-Tec Janix,25.60,,26.08,-1.70,-51.06,26.28,75.17,61.26,0.00,0.00,-4.54,70.44,0.00,-33.00,-25.20,GTECJAINX,Computer Education
11.,IEC Education,15.01,,22.91,,50.00,,40.00,66.49,0.00,0.00,,61.96,0.00,,-11.65,531840,Computer Education
12.,BITS,12.47,871.96,139.52,34.78,50.00,14.81,800.00,65.07,0.07,0.00,24.94,67.46,0.00,,-16.22,526709,Computer Education
13.,G-Tec Janix,25.60,,26.08,-1.70,-51.06,26.28,75.17,61.26,0.00,0.00,-4.54,70.44,0.00,-33.00,-25.20,GTECJAINX,Computer Education
11.,IEC Education,15.01,,22.91,,50.00,,40.00,66.49,0.00,0.00,,61.96,0.00,,-11.65,531840,Computer Education
12.,BITS,12.47,871.96,139.52,34.78,50.00,14.81,800.00,65.07,0.07,0.00,24.94,67.46,0.00,,-16.22,526709,Computer Education
13.,G-Tec Janix,25.60,,26.08,-1.70,-51.06,26.28,75.17,61.26,0.00,0.00,-4.54,70.44,0.00,-33.00,-25.20,GTECJAINX,Computer Education
11.,IEC Education,15.01,,22.91,,50.00,,40.00,66.49,0.00,0.00,,61.96,0.00,,-11.65,531840,Computer Education
12.,BITS,12.47,871.96,139.52,34.78,50.00,14.81,800.00,65.07,0.07,0.00,24.94,67.46,0.00,,-16.22,526709,Computer Education
13.,G-Tec Janix,25.60,,26.08,-1.70,-51.06,26.28,75.17,61.26,0.00,0.00,-4.54,70.44,0.00,-33.00,-25.20,GTECJAINX,Computer Education
1.,Avishkar Infra,66.91,651.74,149.90,,625.00,,600.00,34.69,0.00,0.00,,0.00,0.00,22.00,10.23,508929,Construction
2.,Dugar Housing,24.19,3.84,0.73,,40.00,-100.00,-110.71,34.57,0.00,0.00,,0.00,0.00,,47.50,511634,Construction
3.,Purohit Const.,18.18,,8.01,,0.00,,-22.22,43.14,0.00,0.00,,0.00,0.00,,4.78,538993,Construction
4.,Dhanuka Realty,31.30,36.15,24.22,-53.57,-125.00,-37.10,-148.46,66.93,0.00,0.00,,0.00,0.00,-0.58,41.07,DRL,Construction
5.,Kretto Syscon,2.35,35.68,147.38,,-900.00,25.82,-238.78,0.00,0.00,0.00,,1.67,0.00,,54.55,531328,Construction
6.,Vishvprabha Ven.,72.90,206.64,22.73,12.33,102.86,-41.38,-97.44,61.31,0.00,0.00,98.67,9.08,0.00,1.46,13.01,512064,Construction
7.,Neo Infracon,26.08,,13.85,30.00,-28.21,111.63,187.50,58.75,0.00,0.00,120.05,10.38,0.62,2.03,-2.03,514332,Construction
8.,Athena Construc.,8.37,,6.28,-100.00,-288.89,,2.86,37.92,0.00,0.00,,10.86,0.00,-0.89,0.84,539099,Construction
9.,Mizzen Ventures,220.75,,467.66,,,,107.41,67.50,0.00,0.00,,11.35,62.06,4.00,90.65,531537,Construction
10.,Silveroak Comm,6.72,,1.85,-100.00,84.62,,0.00,,,,,11.35,,,24.86,512197,Construction
11.,PSP Projects,653.95,38.83,2592.37,-10.54,-81.30,7.81,-45.47,60.14,7.99,7.82,-1.64,12.31,0.00,1.99,3.61,PSPPROJECT,Construction
12.,Supreme Holdings,101.00,28.32,390.34,39.01,240.16,-15.14,5.37,58.21,0.00,0.39,31.24,13.30,0.00,,13.95,SUPREME,Construction
13.,Parsvnath Devl.,21.95,,955.22,-71.97,-465.68,23.78,75.44,50.09,0.27,4.51,-26.31,16.19,0.00,-0.05,-2.57,PARSVNATH,Construction
14.,Prime Property,39.77,13.38,67.48,-6.80,187.39,,11500.00,72.81,0.00,0.00,,16.97,0.24,468.00,7.54,530695,Construction
15.,Popular,30.30,17.74,61.75,27.32,-1.22,,,61.39,0.00,0.00,,20.26,0.00,5.88,3.03,544259,Construction
16.,Yogi Infra Proj.,12.32,25.62,20.75,150.00,-40.00,30.43,21.43,44.60,0.00,0.00,,20.87,0.00,,17.10,522209,Construction
17.,Modi's Navnirman,244.00,56.91,478.02,50.64,60.42,12.57,17.62,63.79,0.00,6.94,,21.54,0.00,608.00,3.79,543539,Construction
18.,Pansari Develop.,211.50,94.13,369.00,-86.14,-71.98,-30.81,-36.26,73.88,0.00,0.00,27.77,22.01,0.00,1.90,-2.36,PANSARI,Construction
19.,Virya Resources,590.00,,88.50,,63.64,,-150.00,74.98,0.00,0.00,,23.38,0.00,,-9.92,512479,Construction
20.,Epsom Properties,7.99,,5.96,,-14.29,,-300.00,56.32,0.00,1.07,,23.90,0.00,,10.66,531155,Construction
21.,Manjeera Constr.,36.00,1.96,45.04,-7.50,90.40,-3.70,-45.68,74.10,0.00,0.00,5.96,24.16,0.00,174.00,-11.81,533078,Construction
22.,SBL Infratech,42.00,14.21,3.41,,116.67,2294.12,-90.91,33.57,0.00,0.00,,24.51,0.00,,-20.75,543366,Construction
23.,Thakkers Develp.,186.35,399.33,167.72,35.84,-83.12,-50.56,-95.49,71.31,0.00,0.00,13.30,26.92,0.00,1.51,4.69,526654,Construction
24.,Modulex Const.,26.00,32.06,179.93,,-9.14,,-17.05,22.62,0.00,0.00,,27.19,0.00,-2.07,-5.45,504273,Construction
25.,Swasti Vin. Art,3.96,25.84,35.64,8.91,-31.43,-52.31,-37.66,51.00,0.00,0.00,69.92,27.74,0.00,2.56,-5.12,512257,Construction
26.,Alpine Housing,111.00,48.79,192.28,81.26,128.00,123.52,228.85,73.86,0.21,0.00,16.17,29.30,0.00,4.80,6.04,526519,Construction
27.,Chavda Infra Ltd,146.70,16.90,361.72,11.99,39.91,-17.39,-23.35,73.00,0.50,0.16,,29.76,0.00,3.48,-9.27,CHAVDA,Construction
28.,Narendra Prop.,38.97,30.10,27.70,5.46,109.92,,337.50,70.19,0.00,0.00,-18.82,29.78,0.00,,-0.42,531416,Construction
29.,Innovators,204.00,20.75,384.90,13.65,65.15,-0.62,-18.32,63.71,0.00,0.00,,30.85,0.00,3.22,-7.42,541353,Construction
30.,Aluwind,54.75,22.41,136.04,9.91,-39.68,8.06,-40.84,72.13,0.00,0.00,,33.56,0.00,7.71,-13.44,ALUWIND,Construction
31.,C C C L,19.00,,794.56,50.57,-107.78,-13.82,574.30,60.05,8.93,0.02,41.39,33.75,-4.11,0.47,42.97,CCCL,Construction
32.,SVS Ventures,13.08,174.56,27.93,-74.38,800.00,40.91,-22.22,21.08,0.00,0.00,,34.44,0.00,,6.69,543745,Construction
33.,Nila Infrastruct,11.35,21.84,447.04,30.74,0.56,116.70,9.16,61.90,0.00,0.57,37.09,34.47,0.00,13.88,10.36,NILAINFRA,Construction
34.,Richa Industries,1.60,,3.75,-31.07,-1103.36,17.56,-1809.07,,,,-63.87,34.69,,-64.69,-7.02,532766,Construction
35.,Man Infra,169.85,23.55,6374.30,0.24,0.88,5.21,77.84,66.65,2.16,3.81,-23.70,35.37,0.03,35.73,-3.34,MANINFRA,Construction
36.,Yaan Enterprises,68.39,44.17,21.20,-32.02,-13.64,152.94,533.33,68.55,0.00,0.00,51.68,36.08,0.00,2.50,9.86,538521,Construction
37.,Abhishek Infra.,7.16,,3.62,,40.00,,25.00,26.41,0.00,0.00,,36.97,0.00,,12.98,539544,Construction
38.,Faalcon Concepts,48.25,13.97,32.96,36.97,35.87,42.56,12.61,65.56,0.03,0.00,,37.32,0.00,9.75,-2.29,FAALCON,Construction
39.,Ishaan Infrastru,6.98,64.63,4.52,,550.00,,550.00,1.95,0.00,0.00,,38.50,0.00,,-24.39,540134,Construction
40.,Gayatri Projects,6.78,,126.92,-70.97,-1.19,-26.36,-8.66,3.95,2.75,1.91,-64.61,40.53,0.00,-2.80,-0.15,GAYAPROJ,Construction
41.,Shreeshay Engi.,32.68,37.52,43.15,760.00,150.00,-95.23,-90.48,73.10,0.00,0.00,,40.58,0.00,,33.39,541112,Construction
42.,B.L.Kashyap,71.14,32.09,1603.73,-25.35,-83.79,-9.51,-88.06,61.67,0.92,0.72,8.84,41.04,0.02,1.19,26.38,BLKASHYAP,Construction
43.,Vascon Engineers,49.14,17.17,1111.94,65.76,131.02,31.31,-53.99,31.10,0.00,0.72,39.29,41.43,0.18,8.48,30.64,VASCONEQ,Construction
44.,Aesthetik,74.00,25.44,127.43,18.41,-32.14,,,69.54,1.24,0.03,,41.96,0.00,5.09,7.66,AESTHETIK,Construction
45.,BEML Land Assets,203.65,,848.10,,36.36,,4.55,54.03,8.21,0.01,,42.91,0.00,-1.21,0.82,BLAL,Construction
46.,V R Infraspace,200.05,87.80,177.64,57.67,-19.12,40.87,-20.24,72.97,0.00,0.00,,43.63,0.00,1.95,-21.24,VR,Construction
47.,VKJ Infradevelop,0.30,357.00,7.14,,,,,26.33,0.00,0.00,,44.44,0.00,,-3.23,536128,Construction
48.,Shricon Indus.,169.00,63.52,20.96,-57.14,-107.14,-40.00,75.00,70.84,0.00,0.00,,45.59,0.00,,-11.03,508961,Construction
49.,Setubandhan Inf.,0.63,,7.92,-100.00,-161.04,,2.08,27.42,0.00,0.00,-64.06,45.69,0.00,,-6.25,SETUINFRA,Construction
50.,Generic Engineer,37.38,20.75,213.00,150.78,-43.48,81.57,-15.35,40.30,0.00,0.08,72.93,47.35,0.00,2.21,25.60,GENCON,Construction
1.,Transteel Seatin,128.85,22.36,260.01,9.92,8.41,-20.09,-33.14,41.73,0.00,8.48,,2.68,-9.56,4.48,26.63,TRANSTEEL,Consumer Durables
2.,Parin Enterpris.,388.00,62.43,431.38,286.93,632.85,251.89,422.52,73.02,0.00,0.00,,5.58,0.00,3.48,8.52,PARIN,Consumer Durables
3.,Interiors,454.00,30.83,317.59,177.72,121.59,-39.25,-38.29,70.26,0.00,7.99,,6.97,0.33,16.56,37.58,INM,Consumer Durables
4.,Timex Group,216.45,69.56,2185.08,47.09,30.51,12.90,376.29,74.93,0.01,0.11,30.61,9.81,0.00,11.43,30.01,500414,Consumer Durables
5.,Shashwat Furnis.,43.00,,8.98,129.41,111.54,14.71,114.63,73.42,0.00,0.00,,10.32,0.00,2.50,-6.52,543519,Consumer Durables
6.,Hawkins Cookers,8005.00,37.01,4234.65,4.88,7.56,-3.43,-37.76,56.03,15.43,2.86,8.51,12.99,0.00,43.10,4.30,508486,Consumer Durables
7.,Omfurn India,104.10,29.68,122.57,-8.58,16.04,11.85,365.75,51.12,0.00,1.71,,13.68,0.16,5.50,5.42,OMFURN,Consumer Durables
8.,Tirupati Foam,124.95,27.00,55.07,4.70,-1.64,32.28,33.33,72.14,0.00,0.00,5.13,13.77,0.00,1.67,2.59,540904,Consumer Durables
9.,Dixon Technolog.,16499.65,156.43,99388.45,116.96,77.51,-9.37,-47.48,32.27,23.07,21.81,110.39,13.84,-0.15,7.98,17.29,DIXON,Consumer Durables
10.,Eureka Forbes,542.35,73.62,10488.57,11.01,53.80,-11.15,-25.39,62.56,7.01,12.53,10.87,16.36,0.00,40.45,10.32,EUREKAFORB,Consumer Durables
11.,Kaynes Tech,6486.30,141.60,41567.03,54.48,43.00,48.90,74.84,57.75,16.98,11.17,52.14,17.11,0.00,5.82,57.11,KAYNES,Consumer Durables
12.,Avalon Tech,887.20,92.95,5898.50,58.11,243.91,22.05,1.21,50.57,17.32,7.13,32.56,17.39,0.00,8.70,36.24,AVALON,Consumer Durables
13.,Orient Electric,244.70,62.72,5221.07,9.42,144.22,5.51,15.05,38.31,27.95,6.92,10.11,17.65,0.00,7.56,14.02,ORIENTELEC,Consumer Durables
14.,Wonder Electric.,164.25,158.23,2201.09,68.90,70.23,70.96,898.04,71.79,0.15,9.01,85.21,18.61,0.00,4.48,-16.03,WEL,Consumer Durables
15.,B C C Fuba India,134.70,52.87,206.24,117.53,115.22,18.48,7.61,32.82,0.20,0.00,44.91,19.34,0.00,8.48,10.14,517246,Consumer Durables
16.,Amber Enterp.,6503.25,99.07,22008.29,64.77,7572.92,26.63,76.77,39.72,19.42,27.05,39.46,20.47,0.00,1.99,9.10,AMBER,Consumer Durables
17.,Virtuoso Optoel.,543.05,81.61,1240.26,29.75,144.44,5.71,29.61,53.69,0.23,1.65,,21.30,-3.19,2.10,16.97,543597,Consumer Durables
18.,PG Electroplast,814.05,80.14,23065.83,77.40,108.81,97.36,267.30,49.37,16.37,10.45,78.69,22.84,0.00,6.44,6.51,PGEL,Consumer Durables
19.,Havells India,1580.25,67.42,99072.48,20.24,15.74,33.84,86.00,59.41,12.63,22.31,17.28,24.96,0.00,47.05,6.34,HAVELLS,Consumer Durables
20.,Pokarna,1071.70,22.94,3322.70,35.85,118.99,-11.01,12.54,56.66,15.23,6.60,21.93,26.18,0.00,9.07,-8.03,POKARNA,Consumer Durables
21.,KDDL Ltd,2744.80,34.48,3441.20,26.82,25.46,19.10,32.41,50.43,2.10,8.75,17.75,28.06,0.00,7.40,27.42,KDDL,Consumer Durables
22.,Crompton Gr. Con,347.95,40.27,22401.33,5.08,27.02,16.47,53.45,0.00,57.05,30.33,7.67,28.11,0.00,24.20,-1.06,CROMPTON,Consumer Durables
23.,OSEL Devices,246.15,25.22,397.02,72.32,61.82,7.11,3.62,71.53,5.38,1.83,,28.44,0.00,8.04,-7.77,OSELDEVICE,Consumer Durables
24.,Prizor Viztech,163.50,31.38,174.81,418.90,370.33,,,68.28,0.00,1.42,,28.74,0.00,15.68,6.72,PRIZOR,Consumer Durables
25.,Gorani Industrie,84.00,40.95,45.05,20.48,925.00,5.03,202.50,62.26,1.34,0.00,24.59,29.17,0.00,3.15,-14.33,531608,Consumer Durables
26.,Pan Electronics,70.39,,28.16,89.09,-8.33,60.00,50.00,70.67,0.08,0.00,35.19,30.75,0.00,-7.67,-4.56,517397,Consumer Durables
27.,Symphony,1293.65,36.22,8920.62,46.99,64.58,101.65,890.00,73.43,8.68,6.17,42.69,31.22,0.00,37.67,18.90,SYMPHONY,Consumer Durables
28.,Greenchef Appli.,62.70,25.38,145.91,13.42,23.65,-5.49,411.70,73.52,0.00,0.80,,31.25,0.00,2.51,-8.13,GREENCHEF,Consumer Durables
29.,Incap,84.54,48.19,43.37,331.97,100.00,138.22,-55.56,66.91,0.00,0.00,169.10,31.77,0.00,2.11,-20.32,517370,Consumer Durables
30.,Hind Rectifiers,1079.90,49.76,1853.36,22.26,98.24,9.54,1.40,43.98,0.01,6.03,26.92,32.12,0.00,4.52,9.85,HIRECT,Consumer Durables
31.,Rexpro Enter.,81.25,20.10,91.04,,,,,66.98,0.06,5.43,,32.29,,19.43,-9.13,REXPRO,Consumer Durables
32.,Carysil,661.35,30.98,1879.27,8.07,-18.51,-1.91,-26.77,41.37,11.56,1.27,26.78,32.85,0.00,4.15,11.28,CARYSIL,Consumer Durables
33.,Genus Power,324.95,49.31,9876.13,132.58,404.51,24.10,17.10,39.38,3.78,22.38,99.96,33.14,-0.01,4.55,20.03,GENUSPOWER,Consumer Durables
34.,Johnson Con. Hit,1747.25,89.79,4750.78,44.09,76.74,8.93,88.89,74.25,6.96,1.23,54.84,33.34,0.00,-1.85,5.12,JCHAC,Consumer Durables
35.,Stove Kraft,637.05,53.06,2107.08,11.75,79.59,-3.41,-27.39,55.84,7.03,1.21,11.13,34.78,-0.04,3.02,-11.06,STOVEKRAFT,Consumer Durables
36.,Voltas,1255.30,49.80,41535.97,13.44,113.02,53.54,80.25,30.30,32.99,21.95,25.09,35.50,0.00,15.74,4.00,VOLTAS,Consumer Durables
37.,Madhav Marbles,44.01,51.82,39.39,5.38,85.12,15.51,5.88,43.88,0.00,0.00,-8.00,35.74,0.38,0.76,2.46,MADHAV,Consumer Durables
38.,Blue Star,1553.00,54.89,31931.99,20.77,21.24,43.16,46.46,36.47,23.13,16.94,23.66,35.83,0.01,14.27,-19.97,BLUESTARCO,Consumer Durables
39.,Permanent Magnet,777.00,40.04,668.23,-2.34,-46.88,-12.03,-71.27,58.01,0.01,0.00,,36.31,0.00,4.06,-4.28,504132,Consumer Durables
40.,Jaipan Industrie,32.29,,19.69,33.39,113.89,6.75,-28.57,40.09,0.00,0.00,32.12,36.69,0.00,1.42,-3.01,505840,Consumer Durables
41.,TTK Prestige,647.00,43.14,8968.49,-1.51,-6.84,-3.04,9.76,70.52,14.43,7.40,0.83,36.88,0.00,20.94,-5.52,TTKPRESTIG,Consumer Durables
42.,Cosmo Ferrites,241.05,,289.98,6.00,67.63,6.65,77.16,63.65,0.22,0.00,-3.13,37.37,0.00,0.51,-0.31,523100,Consumer Durables
43.,Elin Electronics,176.50,56.05,876.49,12.51,-46.97,-12.56,-70.71,32.98,10.77,0.41,10.81,37.41,-0.43,2.23,31.04,ELIN,Consumer Durables
44.,Sheela Foam,650.95,88.40,7076.21,0.53,-41.98,-12.15,19.31,65.69,21.17,6.23,16.65,38.99,0.00,1.25,-15.90,SFL,Consumer Durables
45.,Butterfly Gan Ap,760.95,41.82,1360.57,12.39,151.19,-21.46,8.66,75.00,2.46,0.01,-5.75,39.16,0.00,13.38,24.54,BUTTERFLY,Consumer Durables
46.,Bajaj Electrical,667.95,65.10,7704.31,6.51,44.59,-1.88,77.01,62.72,15.79,7.79,4.08,40.36,-0.01,3.76,-3.15,BAJAJELEC,Consumer Durables
47.,Calcom Vision,98.00,50.66,136.81,9.25,5200.00,31.04,-86.14,64.44,3.07,7.29,,40.61,0.00,2.49,-5.39,517236,Consumer Durables
48.,Comrade Applian.,101.82,61.96,78.69,69.11,29.30,-11.76,-158.77,70.05,0.00,5.30,,41.47,-0.48,-2.37,-9.77,543921,Consumer Durables
