S.No.,Name,Price,P/E,Cap,QtrSV,QtrPV,QoQS,QoQP,Prom.,DII,FII,ExpQV,Down%,PromC,IntCov,3M-RETURN,SYMBOL,SECTOR
25.,CFF Fluid,555.25,45.34,1081.30,38.22,40.20,-18.12,-30.25,73.30,0.14,0.00,,41.49,0.00,13.71,13.65,543920,Aerospace & Defence
26.,Rossell Techsys,338.10,113.69,1274.52,30.56,163.96,48.22,5300.00,74.80,2.42,1.48,,41.61,0.00,2.59,10.91,ROSSTECH,Aerospace & Defence
27.,Avantel,115.70,51.17,3065.63,17.81,-43.73,-30.24,-64.78,38.57,0.43,0.48,16.98,45.60,-0.01,15.50,5.44,AVANTEL,Aerospace & Defence
28.,Taneja Aerospace,351.65,49.60,896.73,51.16,142.86,38.02,39.09,52.02,0.09,0.02,35.12,50.47,-0.18,79.30,9.77,522229,Aerospace & Defence
29.,ITI,281.00,,27000.89,299.68,51.72,1.80,30.50,90.00,0.04,0.00,231.42,52.60,0.00,0.24,0.83,ITI,Aerospace & Defence
30.,C2C Advanced,450.05,60.40,748.94,,,,,41.35,3.73,2.00,,52.82,0.62,,-24.72,C2C,Aerospace & Defence
21.,Zen Technologies,1794.75,76.26,16204.86,52.94,33.07,-37.06,-32.74,49.05,9.47,5.95,129.13,31.71,0.00,21.09,26.62,ZENTEC,Aerospace & Defence
22.,NIBE,1523.40,74.71,2177.94,137.17,-55.71,9.33,-78.18,53.74,0.53,8.62,200.05,32.15,0.66,1.94,25.04,NIBE,Aerospace & Defence
23.,BEML Ltd,3569.95,56.79,14866.88,-16.35,-49.36,1.85,-52.17,54.03,18.69,7.26,0.09,34.96,0.00,2.77,22.94,BEML,Aerospace & Defence
24.,Ideaforge Tech,555.05,,2396.36,-80.15,-348.89,15.33,-7.04,29.17,1.52,1.56,-11.93,35.79,-0.06,-101.80,38.05,IDEAFORGE,Aerospace & Defence
25.,CFF Fluid,555.25,45.34,1081.30,38.22,40.20,-18.12,-30.25,73.30,0.14,0.00,,41.49,0.00,13.71,13.65,543920,Aerospace & Defence
26.,Rossell Techsys,338.10,113.69,1274.52,30.56,163.96,48.22,5300.00,74.80,2.42,1.48,,41.61,0.00,2.59,10.91,ROSSTECH,Aerospace & Defence
27.,Avantel,115.70,51.17,3065.63,17.81,-43.73,-30.24,-64.78,38.57,0.43,0.48,16.98,45.60,-0.01,15.50,5.44,AVANTEL,Aerospace & Defence
28.,Taneja Aerospace,351.65,49.60,896.73,51.16,142.86,38.02,39.09,52.02,0.09,0.02,35.12,50.47,-0.18,79.30,9.77,522229,Aerospace & Defence
29.,ITI,281.00,,27000.89,299.68,51.72,1.80,30.50,90.00,0.04,0.00,231.42,52.60,0.00,0.24,0.83,ITI,Aerospace & Defence
30.,C2C Advanced,450.05,60.40,748.94,,,,,41.35,3.73,2.00,,52.82,0.62,,-24.72,C2C,Aerospace & Defence
1.,UPL,642.35,48.20,52204.56,10.62,826.31,42.78,26.49,33.50,18.56,34.22,8.34,8.16,-0.01,2.81,4.25,UPL,Agro Chemicals
2.,Aristo Bio-Tech,138.00,16.01,93.95,61.22,77.04,90.66,244.70,73.42,0.00,0.00,,15.85,0.05,6.94,18.15,ARISTO,Agro Chemicals
3.,Sumitomo Chemi.,526.00,51.20,26255.03,15.17,53.43,-35.92,-55.82,75.00,8.13,3.63,9.84,16.28,0.00,76.57,10.71,SUMICHEM,Agro Chemicals
4.,NACL Industries,181.90,,3627.79,-26.72,-127.86,-39.19,-343.15,63.08,0.00,0.12,-22.13,17.36,-0.57,-2.06,217.50,NACLIND,Agro Chemicals
5.,Aimco Pesticides,92.00,,90.00,15.11,133.99,-8.01,149.06,54.45,0.03,0.04,-10.50,22.36,0.95,2.15,-4.32,524288,Agro Chemicals
6.,P I Industries,3692.90,32.97,56027.97,0.17,-16.92,-14.42,-26.66,46.09,27.43,18.06,6.04,23.13,0.00,58.92,16.71,PIIND,Agro Chemicals
7.,Rallis India,288.85,45.16,5617.25,-1.38,-57.14,-17.62,-390.91,55.08,13.78,11.41,1.35,23.73,0.00,-19.50,32.48,RALLIS,Agro Chemicals
8.,Dhanuka Agritech,1453.75,23.63,6625.97,10.42,21.31,-31.95,-53.17,70.32,18.06,2.19,12.67,24.54,0.03,48.61,3.84,DHANUKA,Agro Chemicals
9.,Sharda Cropchem,627.90,18.61,5664.94,39.36,41.89,96.76,553.64,74.82,10.28,4.69,37.03,29.18,0.00,625.63,14.37,SHARDACROP,Agro Chemicals
10.,Crop Life Scienc,49.00,13.73,83.99,9.11,2.38,5.11,28.36,70.01,0.00,0.00,,29.19,0.00,2.95,3.97,CLSL,Agro Chemicals
