,Unnamed: 0,SYMBOL,MARKET_CAP,INDUSTRY,SECTOR,MACRO,FNO,P/E,Mar Cap Rs.Cr.,Qtr Sales Var %,Qtr Profit Var %,QoQ Sales %,QoQ Profits %,Prom. Hold. %,DII Hold %,FII Hold %,Exp Qtr Sales Var %,RSI Rs.,MACD Signal Rs.,Change in Prom Hold %,ROCE
1300,1300,ORIENTCER,636.0,Industrial Products,Capital Goods,Industrials,False,40.48,635.88,57.25,50.98,-3.06,5.58,63.58,0.0,13.3,23.24,47.31,-2.04,0.0,7.08
1301,1301,APEX,636.0,Food Products,Fast Moving Consumer Goods,Fast Moving Consumer Goods,False,58.02,634.69,-35.75,-61.68,-38.43,-64.39,72.62,0.0,0.03,-15.97,41.28,-9.13,0.0,10.65
1302,1302,MIRZAINT,634.0,Consumer Durables,Consumer Durables,Consumer Discretionary,False,48.31,635.73,9.09,14.88,-32.12,9.73,71.77,0.0,0.47,0.04,40.52,-1.56,0.01,7.57
1303,1303,ALBERTDAVD,633.0,Pharmaceuticals & Biotechnology,Healthcare,Healthcare,False,9.47,626.99,18.39,77.44,-5.26,-7.78,62.04,1.67,0.7,6.63,40.25,-54.64,0.0,17.04
1304,1304,KAMATHOTEL,630.0,Leisure Services,Consumer Services,Consumer Discretionary,False,11.01,628.65,2.71,-42.24,34.5,138466.67,63.34,0.0,0.19,21.66,34.96,-10.65,1.87,26.07
1305,1305,PLASTIBLEN,630.0,Chemicals & Petrochemicals,Chemicals,Commodities,False,19.54,634.79,5.97,66.5,-6.34,-30.64,64.38,0.0,0.82,2.48,38.88,-12.53,0.17,9.2
1306,1306,VINYLINDIA,629.0,Chemicals & Petrochemicals,Chemicals,Commodities,False,29.21,631.26,-41.24,-5.97,3.0,78.61,50.41,0.0,0.0,-43.13,30.77,-17.78,0.0,44.41
1307,1307,RUBYMILLS,626.0,Textiles & Apparels,Textiles,Consumer Discretionary,False,15.89,627.17,-4.69,63.09,6.42,11.12,74.9,0.0,0.0,-2.87,31.87,-9.78,0.0,5.67
1308,1308,STEL,623.0,Finance,Financial Services,Financial Services,False,47.49,616.47,-18.92,-33.33,-92.81,-96.66,65.64,0.2,0.04,9.24,55.03,4.08,0.96,2.11
1309,1309,PAVNAIND,615.0,Auto Components,Automobile and Auto Components,Consumer Discretionary,False,48.55,614.16,-10.61,12.99,4.86,-20.0,70.44,0.0,0.0,,45.16,5.34,0.0,11.21
1310,1310,RBZJEWEL,615.0,Consumer Durables,Consumer Durables,Consumer Discretionary,False,27.41,613.2,25.31,14.33,56.21,-19.95,75.0,3.03,4.33,,44.84,-5.39,-25.0,23.65
1311,1311,SAKUMA,612.0,Commercial Services & Supplies,Services,Services,False,25.49,613.37,-3.93,-9.03,115.47,136.26,61.88,0.0,0.03,-15.36,52.69,0.01,0.0,9.08
1312,1312,ARIHANTCAP,610.0,Capital Markets,Financial Services,Financial Services,False,12.72,608.02,116.57,173.6,29.82,33.36,70.18,0.0,0.06,53.46,41.53,-3.98,-1.46,15.89
1313,1313,HTMEDIA,607.0,Media,Media Entertainment & Publication,Consumer Discretionary,False,,606.31,0.58,40.02,12.41,73.42,69.51,0.05,0.25,-0.93,39.45,-1.44,0.0,-4.03
1314,1314,IRISDOREME,604.0,Textiles & Apparels,Textiles,Consumer Discretionary,False,55.78,611.37,15.38,151.9,-26.99,-45.63,70.94,0.0,0.0,8.93,43.61,-1.78,0.0,16.38
1315,1315,VLEGOV,602.0,IT - Services,Information Technology,Information Technology,False,,603.39,-100.0,-568.18,-100.0,-3.0,37.88,6.32,1.8,,39.63,-3.4,-4.72,0.31
1316,1316,ARROWGREEN,601.0,Industrial Products,Capital Goods,Industrials,False,18.85,603.67,-19.83,34.44,-14.46,-3.56,68.6,0.0,0.0,409.88,48.64,-8.2,0.0,20.88
1317,1317,PRIMESECU,600.0,Finance,Financial Services,Financial Services,False,29.66,603.36,12.85,105.44,16.3,100.76,0.0,0.04,7.04,58.97,51.96,-0.96,0.0,11.65
1318,1318,HCL-INSYS,596.0,IT - Hardware,Information Technology,Information Technology,False,,,,,,,,,,,,,,
