S.No.,Name,CMP Rs.,P/E,Mar Cap Rs.Cr.,Qtr Sales Var %,Qtr Profit Var %,QoQ Sales %,QoQ Profits %,Prom. Hold. %,DII Hold %,FII Hold %,Exp Qtr Sales Var %,RSI Rs.,MACD Signal Rs.,Change in Prom Hold %,ROCE,SYMBOL
169.,Intl. Conveyors,81.70,8.07,517.81,-49.11,190.38,-47.26,-15.68,69.18,0.00,0.01,-27.93,45.12,-4.05,-1.47,15.55,INTLCONV
170.,Empire Inds.,942.70,14.90,565.62,-11.13,24.63,-0.44,26.80,72.55,6.38,0.00,-8.88,44.67,-27.86,0.00,15.54,509525
171.,Silver Touch,642.05,57.66,814.18,16.34,128.11,3.61,37.12,74.51,0.00,0.00,18.67,37.23,-13.40,-0.08,15.54,SILVERTUC
172.,Ritco Logistics,217.85,17.10,533.22,22.79,38.64,1.82,5.16,73.04,0.00,0.03,20.81,40.06,-7.42,0.00,15.47,RITCO
173.,Khaitan Chemical,68.30,,662.44,-40.39,-651.53,-34.10,-24618.18,74.99,0.00,0.11,-24.00,39.80,-2.35,0.00,15.43,KHAICHEM
174.,Remsons Ind,864.20,52.61,493.46,6.95,48.69,12.98,66.82,65.30,0.21,2.24,-2.12,39.80,7.23,-9.70,15.42,REMSONSIND
175.,Chemcon Special.,252.95,34.63,926.57,-30.72,-60.92,-29.54,-25.25,74.46,0.28,0.05,-4.09,40.80,-3.87,0.00,15.39,CHEMCON
176.,Dev Information,101.00,26.39,223.55,16.09,-36.09,13.56,3.01,71.31,0.00,0.00,62.09,26.23,-10.28,3.83,15.22,DEVIT
177.,Sukhjit Starch,460.50,13.60,719.39,4.26,20.00,12.50,40.65,66.24,0.22,0.02,0.02,47.09,-10.16,0.01,15.15,SUKHJITS
178.,Hitech Corp.,204.40,16.58,351.07,6.80,-5.60,-9.89,-50.87,74.43,0.00,0.00,-4.17,39.03,-9.43,0.00,15.00,HITECHCORP
179.,RIR Power Electr,838.05,107.02,583.28,4.62,-40.43,-11.44,-28.66,70.50,0.02,0.00,18.88,47.66,-16.30,-1.01,14.92,517035
180.,Wonder Electric.,595.20,87.84,797.62,36.91,187.50,109.59,3090.00,71.79,0.00,11.07,15.34,76.89,40.53,0.00,14.88,WEL
181.,Sika Interplant,1431.80,41.93,607.08,77.47,115.00,42.39,-5.59,71.72,0.00,2.60,53.82,48.32,-53.00,0.00,14.78,523606
182.,Indo US Bio-Tech,188.25,38.44,377.48,42.65,168.61,39.85,120.36,70.17,0.00,0.00,,29.52,-6.58,0.00,14.61,541304
183.,Vishal Fabrics,19.73,15.42,389.88,4.12,-34.75,29.85,76.40,68.99,0.00,3.73,-10.04,38.47,-0.78,0.00,14.60,VISHAL
184.,Sahyadri Industr,359.30,14.68,393.30,9.71,-32.98,12.13,-16.36,71.12,0.01,0.00,16.12,40.55,-13.55,0.00,14.37,SAHYADRI
185.,Hindcon Chemical,45.00,40.06,230.36,-49.55,-28.57,-30.94,14.77,68.52,0.00,0.00,-15.74,27.47,-1.38,0.18,14.34,HINDCON
186.,Northern Spirits,194.20,28.01,311.71,107.97,2478.57,,,66.97,0.00,0.00,,41.55,-21.17,0.00,14.25,542628
187.,Voith Paper,1887.70,21.41,828.70,7.55,37.05,-12.81,-0.62,74.04,0.37,0.00,10.28,41.37,-46.41,0.00,14.23,522122
188.,GPT Infraproject,158.90,18.20,924.35,26.60,115.31,8.62,6.80,75.00,3.67,0.59,25.69,44.12,-5.44,0.00,14.19,GPTINFRA
189.,Cool Caps,458.00,98.59,529.45,30.96,14.67,-30.97,139.87,73.95,0.00,0.00,,54.64,-5.19,0.42,14.16,COOLCAPS
190.,Khazanchi Jewell,307.20,103.57,760.22,,,,,73.68,1.54,0.00,,44.66,-1.67,-26.32,14.07,543953
191.,Shreeoswal Seeds,35.40,,323.80,-11.41,-300.00,17.07,-618.75,69.98,0.00,0.00,12.67,40.03,-1.95,0.00,14.02,OSWALSEEDS
192.,Alpex Solar,268.85,173.61,657.97,,,,,68.76,,,,34.43,-17.72,,13.98,ALPEXSOLAR
193.,CWD,680.00,114.22,245.58,,,,,72.29,0.00,0.00,,37.99,-56.84,0.00,13.91,543378
194.,QMS Medical,123.40,24.39,220.27,70.24,-2.79,23.04,-4.69,73.67,0.00,1.02,,40.24,-5.86,0.00,13.84,QMSMEDI
195.,Delton Cables,366.70,102.87,316.83,62.02,78.98,22.03,12.31,73.58,0.02,0.00,49.75,38.47,-10.09,0.00,13.80,504240
196.,Kanoria Energy,29.99,34.38,255.79,11.16,-66.12,16.41,25.22,73.95,0.00,0.00,20.11,47.37,-0.85,0.00,13.65,539620
197.,Nitin Castings,590.95,28.91,303.83,-3.52,25.00,-15.98,-5.96,71.39,0.00,0.00,6.61,51.91,13.82,0.00,13.50,508875
198.,Jayant Agro Org.,227.30,13.71,681.90,-18.32,109.23,-20.59,-41.53,67.12,0.02,0.16,-19.44,50.21,-7.24,0.00,13.25,JAYAGROGN
199.,Madhav Infra,10.73,12.41,289.26,-36.84,21.69,-10.03,-41.96,68.98,0.00,0.00,7.48,48.05,-0.50,-0.02,13.22,539894
200.,SRG Housing,273.10,18.54,355.03,39.64,48.60,5.03,1.14,67.83,0.72,0.01,31.74,50.93,-2.36,0.00,13.10,SRGHFL
201.,Arfin India,52.99,97.47,842.14,-4.02,-16.39,-13.99,14.37,74.09,0.00,2.56,0.05,46.97,0.67,-0.02,13.00,539151
202.,Sandesh,1170.05,6.92,885.73,-8.40,74.06,25.93,122.44,74.81,0.00,0.00,-14.25,43.18,-34.80,0.00,12.86,SANDESH
203.,Pritika Auto,32.60,42.07,519.52,-8.98,6.07,-24.41,-16.21,65.80,0.00,4.09,9.97,39.34,-2.76,17.25,12.82,PRITIKAUTO
204.,Upsurge Seeds,306.00,29.59,216.03,,,36.93,-41.99,71.15,0.00,0.00,,33.64,-18.02,0.00,12.76,USASEEDS
205.,Jagatjit Inds.,167.50,63.39,781.61,23.41,-84.24,7.23,-73.95,88.03,0.01,0.00,11.93,39.05,-9.71,0.00,12.71,507155
206.,Cheviot Company,1299.00,11.46,781.59,-16.37,40.55,-21.60,-8.94,74.83,0.15,0.27,-19.73,43.83,-31.06,0.00,12.70,CHEVIOT
207.,Synergy Green,339.85,40.90,480.21,30.10,462.50,22.61,-18.69,74.02,0.76,3.23,21.48,52.98,-9.25,0.00,12.47,SGIL
208.,Dhabriya Poly.,275.35,22.13,298.05,29.53,48.00,-4.81,-7.24,67.75,0.63,0.00,29.11,45.94,-18.63,0.00,12.46,538715
209.,Rudra Global,43.02,23.94,431.68,26.29,30.22,6.81,-76.58,72.88,0.00,0.00,31.93,47.66,1.97,0.00,12.45,539226
210.,Neelamalai Agro,3832.00,11.35,238.37,27.01,66.78,-9.21,-44.50,72.45,0.68,0.00,6.65,50.52,-6.29,0.00,12.44,508670
211.,Sadbhav Infra.,6.60,1.28,232.47,10.31,40.04,26.63,58.48,70.34,0.66,0.06,-16.65,38.99,0.24,0.00,12.28,SADBHIN
212.,AGS Transact,68.85,,841.71,-10.03,-223.63,-0.74,74.75,65.52,3.85,0.44,-5.49,28.97,-7.18,0.00,12.16,AGSTRA
213.,Solex Energy,853.15,175.01,682.52,,,-34.07,-76.97,70.65,0.00,0.00,,61.04,26.36,0.00,11.99,SOLEX
214.,Inspirisys Sol.,110.30,34.93,436.97,42.09,-18.22,-33.98,906.82,69.95,0.00,0.13,46.02,56.52,4.42,0.00,11.96,INSPIRISYS
215.,HP Adhesives,97.70,48.05,897.62,-0.76,43.53,-12.54,-0.57,71.35,3.72,0.71,4.47,38.57,-3.42,0.00,11.96,HPAL
216.,Bright Outdoor,481.15,,670.18,27.97,131.92,-25.56,43.57,69.76,0.00,6.74,,50.61,-10.30,-2.96,11.88,543831
217.,Bajaj Healthcare,303.45,29.06,837.47,-18.10,-67.04,7.27,36.42,67.73,0.48,0.74,-23.16,40.27,-7.26,0.04,11.87,BAJAJHCARE
218.,Airan,23.90,30.37,298.80,-3.98,-13.79,-6.79,-12.89,72.37,0.00,0.00,4.01,40.33,-1.43,-0.01,11.84,AIRAN
219.,Bella Casa Fashi,296.05,39.97,339.72,12.83,7.73,-9.69,-3.09,68.06,0.00,0.00,-0.03,66.33,9.44,0.00,11.74,539399
220.,Sh.Pushkar Chem.,169.80,14.60,537.01,13.65,49.02,-5.71,-9.70,68.60,0.75,1.35,3.33,40.56,-7.10,0.00,11.55,SHREEPUSHK
221.,Captain Polyplas,51.51,17.98,259.50,15.31,82.28,17.45,31.53,68.08,0.00,0.00,53.49,49.29,1.05,1.59,11.30,536974
222.,Bharat Parenter.,1150.25,43.27,664.23,1.36,47.37,0.02,49.79,73.84,0.01,0.00,41.91,52.39,60.81,0.00,11.30,541096
223.,Paul Merchants,915.40,5.23,282.31,21.67,39.51,13.66,17.62,74.65,0.00,0.00,12.05,40.21,-91.65,0.00,11.28,539113
224.,Bambino Agro Ind,330.90,26.94,265.05,2.14,-31.64,-27.68,-74.84,74.96,0.00,0.00,12.63,46.41,-15.16,0.00,11.27,519295
225.,Pavna Industries,504.20,48.55,614.16,-10.61,12.99,4.86,-20.00,70.44,0.00,0.00,,45.16,5.34,0.00,11.21,PAVNAIND
226.,Delphi World,233.70,15.38,260.06,-0.79,38.59,0.66,-14.36,75.00,0.00,0.00,19.35,41.14,-10.15,-14.55,11.17,DELPHIFX
227.,Zodiac Energy,364.95,77.85,534.05,88.06,158.77,36.36,99.32,72.86,0.00,0.00,39.15,53.79,21.93,0.00,11.16,ZODIAC
228.,Veljan Denison,3418.00,44.58,769.05,17.57,64.40,1.48,22.92,74.98,0.00,0.00,6.26,84.93,71.12,0.00,11.09,505232
229.,Purv Flexi,231.00,87.18,484.70,,,,,67.29,,,,,-7.15,-32.71,10.96,PURVFLEXI
230.,Eastern Logica,188.00,67.13,321.56,,,28.78,18.72,73.59,0.00,0.00,,39.78,-13.03,0.00,10.92,543746
231.,Chembond Chem.,494.30,13.91,664.75,3.60,63.52,2.30,-12.12,67.55,0.98,1.10,13.17,51.78,-12.79,0.01,10.89,CHEMBOND
232.,Multibase India,246.60,25.57,311.21,-7.36,47.59,-3.20,37.31,75.00,0.00,0.33,-6.38,47.97,0.30,0.00,10.88,526169
233.,Tara Chand Infra,177.20,21.30,250.65,20.31,10.56,5.09,24.54,73.34,0.00,0.00,18.10,56.94,-1.76,-1.05,10.72,TARACHAND
234.,Adit.Birla Money,95.45,12.29,539.38,51.48,73.54,5.13,27.10,73.53,0.00,0.00,34.75,35.80,-5.06,0.00,10.70,BIRLAMONEY
235.,Apex Frozen Food,203.10,58.02,634.69,-35.75,-61.68,-38.43,-64.39,72.62,0.00,0.03,-15.97,41.28,-9.13,0.00,10.65,APEX
236.,Naga Dhunseri,2199.85,5.95,219.99,204.06,-41.76,37.07,-49.34,73.58,0.44,0.00,341.17,40.42,-87.03,0.00,10.64,NDGL
237.,MMP Industries,262.85,23.41,667.71,10.33,41.97,11.74,91.22,74.48,0.47,5.96,2.89,53.53,-0.55,0.00,10.50,MMP
238.,Emami Paper,118.50,15.64,716.93,-12.64,2692.20,13.02,140.06,74.97,3.81,0.50,-14.66,41.63,-3.32,0.00,10.44,EMAMIPAP
239.,Swaraj Suiting,181.00,29.19,276.41,,,-18.10,37.94,68.91,0.00,0.00,,58.25,9.53,-4.40,10.30,SWARAJ
240.,Zuari Agro Chem.,180.45,2.46,758.94,-40.44,-80.62,-48.85,-57.14,65.28,1.00,1.58,79.73,42.13,-11.85,0.00,10.24,ZUARI
241.,Mangalam Global,20.15,17.73,290.52,-5.53,7.11,21.60,1528.00,74.99,0.05,0.00,30.09,46.91,-0.21,0.00,10.20,MGEL
242.,Sakthi Finance,50.22,21.71,324.95,6.64,36.71,1.93,15.20,67.02,0.00,0.00,6.75,18.63,-5.02,0.00,10.01,511066
243.,Radix Industries,145.50,106.51,218.35,-15.73,45.65,-17.19,48.89,74.96,0.00,0.00,55.93,46.29,3.40,0.00,9.96,531412
244.,South West Pinn.,107.65,36.76,300.37,19.47,251.96,81.13,270.10,74.68,0.00,0.08,5.76,34.89,-12.91,0.00,9.96,SOUTHWEST
245.,Kilitch Drugs,366.60,47.39,589.58,6.07,1.75,-22.84,-65.82,69.23,0.00,0.00,19.63,46.72,-12.68,0.00,9.88,KILITCH
246.,Competent Auto,461.25,10.51,283.67,29.30,18.03,42.04,61.59,74.92,0.00,0.00,27.55,51.36,-1.45,0.00,9.82,531041
247.,Sreeleathers,289.05,23.24,669.30,22.88,7.02,-3.52,-21.42,75.00,0.00,6.90,17.44,38.36,-13.27,0.00,9.80,SREEL
248.,A-1 Acid,347.50,281.43,399.63,-49.96,10.53,-16.21,625.00,70.03,0.00,2.90,-41.13,44.16,-4.11,0.00,9.79,542012
249.,Manaksia Coated,29.05,21.66,215.75,7.88,1828.57,-1.89,101.49,69.19,0.00,0.00,16.40,37.15,-0.97,1.76,9.74,MANAKCOAT
250.,Crown Lifters,200.65,36.65,208.88,43.00,311.76,38.36,33.33,75.00,0.00,0.00,15.42,77.92,9.48,0.00,9.73,CROWN
251.,Black Rose Indus,129.70,38.15,661.47,-3.98,1914.81,11.64,-9.93,75.00,0.00,0.00,-16.33,32.04,-3.05,0.00,9.70,514183
252.,Hind.Adhesive,392.45,14.69,200.93,-7.44,521.30,-13.28,17.57,68.48,0.00,0.00,-18.44,53.30,0.26,0.00,9.61,514428
253.,T B Z,105.80,13.18,706.01,-8.76,4.33,54.19,137.96,74.12,0.00,1.82,-3.91,39.93,-5.95,0.00,9.30,TBZ
254.,Artemis Electri.,31.73,63.67,796.54,-32.67,-43.62,2.95,3.79,72.46,0.00,0.00,238.05,37.91,-3.15,0.04,9.26,542670
255.,Lagnam Spintex,113.75,22.86,200.98,71.33,1084.62,33.53,258.14,68.50,0.00,0.00,30.42,48.62,0.33,0.00,8.99,LAGNAM
256.,Global Surfaces,222.15,67.59,941.51,-1.04,-33.06,-0.40,1.49,73.36,0.45,2.34,-9.91,33.67,-11.42,0.00,8.99,GSLSU
257.,United Van Der,324.90,77.29,200.95,35.75,140.54,-0.66,169.70,72.06,0.02,0.00,47.66,65.72,8.12,1.62,8.88,522091
258.,PTL Enterprises,40.00,25.88,529.51,0.00,-11.24,0.00,-47.78,69.82,0.91,0.08,0.44,36.74,-1.60,0.00,8.83,PTL
259.,A.K.Capital Serv,958.70,7.33,632.74,25.20,-9.75,5.94,0.81,71.50,0.00,0.00,28.91,50.81,-8.84,0.00,8.77,530499
260.,Yamuna Syndicate,24550.00,6.42,754.58,2.91,-6.15,4.69,3.11,74.87,0.01,0.00,-5.89,38.35,-567.17,0.00,8.72,540980
261.,Munjal Auto Inds,78.80,23.19,788.00,-11.45,1254.18,-22.49,-257.03,74.81,0.03,0.02,6.22,40.15,-4.29,0.00,8.71,MUNJALAU
262.,Jindal Photo,567.85,2.63,582.61,1333.33,111.43,-4.44,96.53,74.20,0.02,0.00,66687.22,39.10,-15.84,0.00,8.70,JINDALPHOT
263.,Bhagyanagar Ind,84.10,5.48,269.08,-22.14,-5.80,-1.42,9.96,73.76,0.00,0.00,2.93,39.64,-3.60,-0.65,8.68,BHAGYANGR
264.,Z F Steering,814.00,15.54,738.30,3.87,169.13,-4.88,-7.60,67.18,0.02,0.00,11.42,38.40,-20.36,0.00,8.66,505163
265.,Asi Industries,25.51,9.97,229.78,3.79,21.79,155.62,713.41,72.51,0.00,0.00,1.31,36.56,-1.46,0.00,8.56,502015
266.,Proventus Agro,1001.00,93.05,343.10,,,,,70.84,0.00,0.00,,46.91,-17.95,0.00,8.52,PROV
267.,Davangere Sugar,79.20,45.86,745.15,-17.32,143.91,190.90,478.35,74.35,0.00,0.00,21.18,38.35,-3.47,-0.10,8.41,DAVANGERE
268.,Lehar Footwears,127.15,30.33,213.82,0.28,-5.50,-35.74,-49.01,71.81,0.00,0.00,32.81,42.03,-2.51,0.82,8.37,532829
269.,Indag Rubber,142.70,18.73,374.59,3.11,6.43,-2.87,-26.91,73.34,0.00,1.21,15.67,49.85,-2.23,0.00,8.34,509162
270.,ABM Knowledge,101.70,16.70,203.42,8.09,-19.12,-8.87,-24.12,66.93,0.00,0.34,4.36,36.08,-4.22,0.00,8.33,531161
271.,Softsol India,260.10,17.49,384.00,-11.64,-56.93,-3.63,0.68,73.47,0.00,0.00,-16.22,39.65,-0.45,0.00,8.25,532344
272.,Gokul Refoils,38.35,16.05,379.65,48.01,-40.59,-12.92,142.98,73.01,0.00,0.23,10.91,36.06,-3.61,1.21,8.17,GOKUL
273.,Nahar Indl. Ent.,118.00,63.65,509.83,-19.51,-47.29,5.82,158.87,71.24,0.46,0.15,-22.84,38.09,-4.06,0.00,7.99,NAHARINDUS
274.,Eimco Elecon(I),1507.70,24.62,869.94,26.67,54.40,-5.61,-36.02,74.06,0.00,0.00,46.51,59.68,-2.29,0.00,7.96,EIMCOELECO
275.,Batliboi,139.80,40.61,406.06,12.14,-51.58,11.69,52.07,74.06,0.00,0.00,14.69,60.10,7.78,0.00,7.94,522004
276.,Kapston Services,243.55,23.05,247.06,27.39,71.34,6.75,-37.88,72.87,0.00,0.00,29.15,49.22,-4.57,0.00,7.91,KAPSTON
277.,Vardhman Hold.,2861.00,4.56,912.66,72.54,61.93,-74.46,-13.45,74.90,0.97,0.03,1095.36,38.45,-90.78,0.00,7.66,VHL
278.,Eco Recyc.,470.40,74.96,907.72,104.10,46.34,5.21,-6.37,73.35,0.00,0.90,57.57,50.65,4.58,0.00,7.63,530643
279.,Mirza Internatio,46.00,48.31,635.73,9.09,14.88,-32.12,9.73,71.77,0.00,0.47,0.04,40.52,-1.56,0.01,7.57,MIRZAINT
280.,Vasu Bhagnani,133.20,170.79,466.25,197.35,331.82,38.11,63.79,73.09,0.00,0.00,123.73,91.04,9.54,0.00,7.44,532011
281.,Uravi T & Wedge,339.05,305.70,372.96,36.29,15.15,8.57,-34.48,72.73,0.00,0.00,,63.67,-1.49,0.00,7.43,URAVI
282.,Indl.& Prud.Inv.,4900.00,16.16,821.16,-42.25,18.92,2.50,-23.85,68.17,0.07,0.00,-13.20,42.18,-31.80,0.00,7.37,501298
283.,Stovec Inds.,2434.65,56.29,508.84,-4.86,141.57,21.68,603.51,71.06,0.05,0.00,-9.84,42.39,-13.83,0.00,7.34,504959
284.,Starteck Fin.,257.60,16.07,255.29,9.32,22.77,-40.06,-62.94,72.55,0.00,0.01,48.76,29.70,-6.36,0.86,7.13,STARTECK
285.,Bimetal Bearings,576.15,25.39,220.67,1.89,-62.67,-6.73,-67.98,74.88,0.00,0.00,4.04,52.14,-5.00,0.00,6.88,505681
286.,Emk.Global Fin.,107.35,17.68,265.06,38.44,40.07,6.61,32.25,74.49,0.00,0.76,14.27,36.28,-7.09,0.00,6.88,EMKAY
287.,AYM Syntex,88.95,398.56,450.37,-4.53,55.56,-0.59,81.38,73.59,0.15,0.09,-13.93,53.40,1.05,0.00,6.84,AYMSYNTEX
288.,Enkei Wheels,552.05,84.81,992.30,34.65,114.94,-3.15,-64.54,74.97,0.00,0.02,11.67,50.32,-9.81,0.00,6.75,533477
289.,Vijay Solvex,829.30,,265.59,-9.36,-1125.86,7.87,-3405.56,68.19,0.00,0.00,-21.28,48.60,-18.35,0.54,6.67,531069
290.,Gloster Ltd,815.50,35.65,892.42,-13.43,-82.49,-15.69,-67.41,72.63,14.61,0.00,-9.48,34.91,-7.23,0.00,6.62,542351
291.,Vipul Organics,171.75,86.96,223.48,34.22,900.00,2.44,-19.19,66.76,0.00,0.26,3.43,42.86,-5.52,0.32,6.55,530627
292.,MBL Infrast,51.70,,541.58,-17.18,15.47,56.06,16.23,68.25,0.00,0.01,20.65,60.63,-1.25,-0.02,6.40,MBLINFRA
293.,Manaksia Steels,58.65,13.17,384.36,-14.29,22.18,-19.68,-46.08,74.75,0.00,0.88,7.69,38.19,-4.89,0.00,6.37,MANAKSTEEL
294.,United Drilling,240.70,54.66,488.70,28.40,17.48,-1.68,10.00,74.65,0.00,0.35,-7.87,41.44,-11.92,0.00,6.07,UNIDT
295.,Nahar Capital,284.95,25.71,477.01,-36.71,-103.03,-49.74,-102.88,71.54,0.02,0.31,-1.47,43.54,-5.41,0.00,6.05,NAHARCAP
296.,Country Club Hos,12.50,12.24,204.33,-19.51,44.44,0.63,18.52,73.80,0.00,0.49,-15.93,28.59,-0.77,0.00,6.02,CCHHL
297.,Elgi Rubber Co,50.55,,253.26,-8.69,-125.30,-6.52,-118.81,65.03,1.46,0.00,-5.70,42.41,-2.18,0.00,5.85,ELGIRUBCO
298.,Ruby Mills,187.55,15.89,627.17,-4.69,63.09,6.42,11.12,74.90,0.00,0.00,-2.87,31.87,-9.78,0.00,5.67,RUBYMILLS
299.,Shahlon Silk,28.24,90.39,252.19,-27.65,-35.29,-21.71,-42.74,72.04,0.00,5.04,0.09,62.66,0.19,0.00,5.62,542862
300.,Nahar Poly,187.20,52.66,460.29,-3.77,-456.16,12.12,-142.69,71.08,0.01,0.07,-19.18,40.11,-6.36,0.03,5.33,NAHARPOLY
301.,Mafatlal Inds.,118.80,11.00,849.45,43.64,1093.71,36.15,-18.44,70.16,1.70,0.85,24.51,40.92,-6.67,-0.58,5.25,500264
302.,Shemaroo Entert.,150.80,,410.57,4.26,-3502.27,-21.61,-658.35,65.88,0.14,0.00,43.73,45.88,-8.29,0.00,5.25,SHEMAROO
303.,RDB Realty,123.90,13.45,214.10,-49.58,-39.01,-28.59,-25.32,70.42,0.00,0.00,39.06,30.32,0.09,0.00,5.04,533285
304.,Euro India Fresh,130.55,123.57,323.76,-9.69,260.00,11.97,31.71,73.50,0.00,0.00,-8.85,43.15,-2.44,0.00,5.03,EIFFL
305.,Compucom Soft.,26.20,27.28,207.31,144.24,94.23,-23.03,-71.08,70.87,0.01,0.03,134.16,45.88,-1.21,-0.50,4.97,COMPUSOFT
306.,Naperol Invest.,861.70,13.98,495.22,4.93,857.89,-9.95,-59.28,70.76,0.01,0.00,43.54,17.48,-31.94,0.00,4.88,500298
307.,Sejal Glass,362.00,36.09,365.62,304.54,158.97,19.04,-6.42,78.96,0.00,0.00,,62.90,17.08,-11.04,4.87,SEJALLTD
308.,Kanpur Plastipa.,98.80,41.59,212.09,29.81,-50.45,2.81,-398.23,66.74,0.00,0.00,-8.64,41.08,-4.05,0.00,4.77,KANPRPLA
309.,Sar Auto Prod.,2079.55,1100.94,990.85,113.16,104.17,9.04,16.67,67.91,4.63,0.00,75.04,48.63,40.65,-0.46,4.73,538992
310.,Murudesh.Ceramic,46.45,40.30,267.99,16.40,10.88,11.66,35.83,73.94,0.00,0.00,27.71,40.15,-1.55,1.29,4.66,MURUDCERA
311.,Alpine Housing,163.55,76.36,283.30,41.20,15.38,-8.77,-12.79,73.86,0.21,0.00,49.55,50.53,-5.79,0.00,4.64,526519
312.,Munjal Showa,166.65,18.03,666.52,-1.37,126.77,5.59,461.04,65.02,0.03,1.27,-4.68,47.84,-4.81,0.00,4.63,MUNJALSHOW
313.,Saraswati Commer,5333.40,8.57,549.30,227.45,296.67,40.29,40.00,72.32,0.00,0.00,227.61,46.49,676.49,0.00,4.60,512020
314.,Majestic Auto,284.15,9.20,295.52,24.03,596.19,-62.20,-67.07,75.00,0.03,0.02,117.31,38.22,-9.85,0.00,4.58,500267
315.,Ucal,151.75,,335.52,-6.05,-462.50,7.34,41.61,70.28,0.01,0.00,-7.38,48.96,-4.22,0.00,4.55,UCAL
316.,The Invest.Trust,141.05,26.08,736.88,0.39,2513.04,-12.65,-40.27,72.12,0.00,6.55,-6.48,57.26,-3.61,0.00,4.54,THEINVEST
317.,Equippp Social,29.05,,299.49,-48.33,-400.00,,66.67,89.10,0.00,0.00,,54.73,-0.50,-7.57,4.46,EQUIPPP
318.,U. Y. Fincorp,25.44,7.93,483.97,96.58,108.41,12.75,-90.80,71.38,0.00,0.00,79.56,40.71,-0.82,0.51,4.45,530579
319.,Welspun Investme,791.75,53.92,288.99,55.56,,-96.37,-98.25,74.58,0.01,0.00,1926.94,54.46,13.04,0.00,4.36,WELINV
320.,Laxmi Goldorna,307.45,,641.71,46.71,630.16,26.41,40.79,74.97,0.00,0.00,,59.14,32.06,0.00,4.36,LGHL
321.,Panchmahal Steel,148.20,176.73,282.77,-11.40,94.72,-13.94,-145.07,74.90,3.93,0.00,-7.57,50.67,-0.06,0.00,4.30,513511
322.,Graviss Hospital,47.26,62.29,333.27,7.00,47.81,70.49,276.09,74.92,0.00,0.00,-3.71,52.67,-1.39,0.00,4.10,509546
323.,Loyal Textile,575.60,,277.44,-28.41,87.81,-17.53,84.57,73.49,0.08,0.00,-31.03,47.79,-22.59,0.00,4.08,LOYALTEX
324.,Forbes & Co,499.30,14.38,644.10,18.73,345.12,3.10,169.29,73.85,0.10,11.58,-7.80,62.98,21.48,0.00,4.06,502865
325.,Bhageria Indust.,152.30,38.11,664.70,19.52,123.06,9.18,193.99,71.75,0.00,0.00,-10.69,37.67,-4.26,0.00,4.04,BHAGERIA
326.,Ruchi Infrastr.,10.55,43.24,232.63,-18.78,133.50,-5.65,-92.72,67.10,0.00,9.05,-11.64,33.27,-0.53,-0.19,4.01,RUCHINFRA
327.,Veer Global Inf.,154.00,274.89,250.15,-37.02,-55.56,9.46,-14.29,72.35,0.00,0.00,,54.41,1.61,1.84,4.01,543241
328.,Hind.Composites,396.90,16.31,586.18,3.26,18.97,-0.04,-35.01,74.97,0.01,0.03,9.84,39.58,-8.74,0.00,3.84,HINDCOMPOS
329.,VTM,74.89,17.13,301.26,3.45,307.96,8.44,-8.53,75.00,0.00,0.00,-5.38,62.69,0.12,0.00,3.83,532893
330.,Asian Hotels (E),142.40,20.43,246.23,24.20,-65.14,54.86,-77.71,65.63,0.22,0.17,16.75,39.36,-3.31,0.00,3.79,AHLEAST
331.,Sintercom India,130.00,365.16,357.86,9.45,,6.20,53.85,69.75,0.00,0.00,2.58,56.93,0.02,0.00,3.65,SINTERCOM
332.,Riddhi Siddhi Gl,528.00,11.08,376.45,518.25,-13.00,647.49,-34.45,74.54,0.01,0.00,281.90,40.13,-13.84,0.00,3.38,524480
333.,Kiran Vyapar,190.90,11.66,520.86,41.11,-36.34,182.74,59.69,74.96,0.00,0.00,263.83,65.47,0.91,0.00,3.32,537750
334.,Shivam Autotech,38.35,,468.72,17.16,-28.68,3.18,3.89,74.80,0.01,0.00,0.17,45.58,-1.36,0.00,3.23,SHIVAMAUTO
335.,Modi Naturals,209.85,,274.80,-8.42,-42000.00,13.73,-651.32,69.09,0.06,0.00,-12.67,31.91,-13.22,1.59,3.20,519003
336.,Quest Capital,327.25,16.91,327.25,47.31,62.07,-1.44,3.30,75.00,0.00,3.17,-4.53,45.97,-4.29,0.00,3.19,500069
337.,Raj Television,52.00,204.51,269.95,137.19,-91.67,68.61,-2400.00,71.23,0.00,0.00,101.30,35.29,-3.06,-0.19,3.03,RAJTV
338.,Refex Renewables,473.70,,212.69,18.31,-102.85,-0.05,-0.86,75.00,0.00,0.00,71.01,45.42,-2.38,0.00,2.78,531260
339.,GeeCee Vent.,264.90,67.31,553.95,69.38,331.46,58.98,106.98,67.71,0.00,0.01,0.72,47.64,-3.35,0.00,2.64,GEECEE
340.,Mercantile Vent.,21.23,94.99,237.60,29.35,-91.64,6.19,-1294.74,72.75,0.00,0.00,32.51,33.89,-1.11,0.00,2.54,538942
341.,Robust Hotels,188.20,,325.43,11.63,-96.63,14.18,762.07,65.63,0.22,0.18,46.31,41.57,8.34,0.00,2.39,RHL
342.,Caspian Corporat,59.33,68.78,250.37,12409.52,940.00,29.92,139.08,74.96,0.00,0.00,14378.18,70.96,3.54,0.00,2.30,534732
343.,STEL Holdings,333.95,47.49,616.47,-18.92,-33.33,-92.81,-96.66,65.64,0.20,0.04,9.24,55.03,4.08,0.96,2.11,STEL
