S.No.,Name,CMP Rs.,P/E,Mar Cap Rs.Cr.,Qtr Sales Var %,Qtr Profit Var %,QoQ Sales %,QoQ Profits %,Prom. Hold. %,DII Hold %,FII Hold %,Exp Qtr Sales Var %,RSI Rs.,MACD Signal Rs.,Change in Prom Hold %,ROCE,SYMBOL
43.,Prevest Denpro,363.25,26.31,436.01,11.00,1.39,3.34,-2.67,73.60,0.68,0.31,20.66,44.35,-11.35,0.00,32.25,543363
44.,Menon Bearings,116.90,23.07,655.11,-0.54,-27.87,-1.50,-11.27,70.18,0.00,0.54,-2.75,38.38,-5.49,0.00,32.10,MENONBE
45.,D P Wires,458.85,17.12,711.24,-26.79,-32.12,-7.72,-30.24,74.78,0.00,0.00,39.11,42.09,-16.24,0.03,31.98,DPWIRES
46.,EKI Energy,323.00,,889.02,-89.32,-165.99,-46.40,49.46,73.40,0.02,0.14,-82.29,24.36,-15.37,-0.01,31.92,543284
47.,Priti Internati.,170.55,21.77,227.74,-21.45,24.60,4.48,-8.04,66.85,0.75,0.00,44.16,40.79,-9.52,0.04,31.91,PRITI
48.,Chaman Metallics,86.20,10.81,208.04,,,-20.76,-12.84,73.60,0.00,0.00,,45.20,-3.50,0.00,31.62,CMNL
49.,Modern Threads,58.95,6.65,205.03,-9.30,-0.42,-3.58,15.64,65.10,11.76,0.00,-0.31,100.00,7.30,0.00,31.47,MODTHREAD
50.,Pyramid Technopl,148.85,18.07,547.54,6.36,-17.01,-2.74,-17.96,74.94,3.18,1.37,,37.77,-7.19,0.00,30.90,PYRAMID
51.,Wise Travel,180.85,42.22,430.64,,,,,69.76,,,,42.68,-7.38,,30.89,WTICAB
52.,Kay Cee,187.65,37.32,205.66,,,,,70.26,4.00,2.04,,30.76,-23.96,,30.64,KCEIL
53.,J.G.Chemicals,186.55,13.47,731.02,,,,,70.99,5.40,7.10,,,1.20,,30.36,JGCHEM
54.,Megatherm,270.00,36.31,508.70,,,,,72.71,,,,45.25,4.23,-26.21,30.13,MEGATHERM
55.,Aaron Industries,261.90,48.38,274.29,6.87,-3.23,4.43,0.00,73.06,0.00,0.00,15.27,48.26,-0.91,0.00,29.71,AARON
56.,Aurangabad Dist.,270.40,11.04,221.73,,,-15.33,-13.73,74.93,0.00,0.00,,48.77,-11.66,0.00,29.58,AURDIS
57.,U P Hotels,1346.00,26.55,726.84,12.87,31.41,91.31,1875.00,88.39,0.00,0.00,31.50,46.51,20.54,0.00,29.40,509960
58.,Kothari Petroche,123.10,11.73,724.40,-11.93,6.90,-22.67,-22.28,70.98,0.09,0.00,36.59,42.91,-5.40,0.00,29.34,KOTHARIPET
59.,Karnika Industri,284.60,42.67,352.89,,,,,73.39,,,,76.93,22.51,,29.29,KARNIKA
60.,Rajnandini Metal,11.60,17.53,320.72,18.33,13.86,-10.64,-40.62,65.27,0.00,0.04,28.27,41.26,-0.67,-7.97,29.22,RAJMET
61.,Chavda Infra Ltd,102.95,21.06,253.83,,,,,73.00,1.59,5.25,,45.54,-3.15,,28.39,CHAVDA
62.,Chemfab Alka.,660.00,23.92,938.96,2.85,-47.96,8.48,52.52,72.88,0.07,0.29,-6.74,63.89,42.81,-0.11,28.16,CHEMFAB
63.,Shish Industries,124.40,59.90,435.49,68.44,86.59,18.96,-15.93,66.82,0.00,0.00,28.33,57.13,2.09,0.34,28.16,540693
64.,G M Polyplast,180.45,32.47,242.88,,,11.70,112.97,73.54,0.00,0.42,,50.52,2.74,0.00,27.94,543239
65.,Gretex Corporate,411.55,,473.92,4453.12,2351.32,,,66.24,0.00,0.00,,64.87,-5.34,0.37,27.26,543324
66.,Chemcrux Enterp.,268.85,28.30,398.14,,,,,72.92,0.00,0.00,,38.29,-4.77,0.00,27.24,540395
67.,Krystal Integrat,710.75,25.83,993.06,,,,,69.96,4.70,9.94,,,-0.03,,27.20,KRYSTAL
68.,Suraj Products,400.85,14.88,456.97,58.12,33.03,8.57,1.37,73.70,0.02,0.00,50.01,37.39,-7.74,0.00,26.80,518075
69.,Frog Cellsat,162.15,19.11,250.29,16.78,-32.12,27.15,5.97,74.39,1.87,0.00,,50.13,-9.31,0.00,26.68,FROG
70.,Sealmatic India,662.35,49.38,599.43,,,12.46,18.74,72.38,3.35,0.00,,44.50,-14.89,0.00,26.61,543782
71.,Menon Pistons,92.50,18.85,471.75,-5.41,26.49,-4.27,25.20,74.37,0.00,0.04,-4.53,45.13,-2.25,0.00,25.95,531727
72.,Technvision Ven.,1489.70,122.13,935.53,59.89,325.76,19.50,249.22,74.32,0.00,0.00,31.86,98.97,130.46,0.00,25.81,501421
73.,Suraj,216.75,14.39,398.04,-0.30,80.79,9.62,68.87,75.00,0.00,0.00,-14.39,46.66,-1.08,0.00,25.76,531638
74.,Jagsonpal Pharma,286.95,30.83,755.76,-21.43,-49.17,-18.30,-46.99,68.48,0.82,0.53,-3.89,37.01,-11.19,-0.23,25.64,JAGSNPHARM
75.,Wealth First Por,617.00,22.02,657.41,77.07,148.40,10.47,-1.17,74.01,0.00,0.00,70.70,68.20,24.34,0.00,25.54,WEALTH
76.,Atmastco Ltd,139.35,27.10,344.68,,,,,68.43,,,,59.72,10.66,,25.42,ATMASTCO
77.,Pradeep Metals,228.05,20.96,393.84,0.86,-8.92,-3.24,22.58,73.48,0.00,0.00,-3.03,48.05,-0.76,0.00,24.99,513532
78.,Goyal Salt,153.95,77.84,275.57,,,,,72.61,5.82,4.69,,33.92,-9.63,,24.79,GOYALSALT
79.,Shree Ganesh Rem,678.50,37.08,814.66,27.19,10.34,-16.31,-26.72,69.33,0.00,0.00,45.12,49.01,-0.90,0.00,24.66,540737
80.,Vikram Thermo,143.85,18.52,451.08,16.64,95.15,-6.80,-21.94,65.94,0.00,0.00,18.81,53.15,-2.42,0.00,24.61,530477
81.,Semac Consul,2752.35,,844.97,-73.30,-2058.11,20.29,-337.76,72.61,0.00,0.04,5.04,47.32,5.50,0.00,24.58,SEMAC
82.,Rockingdeals Cir,392.35,144.18,222.03,,,-99.37,-100.00,65.01,,,,29.42,-38.12,,24.52,ROCKINGDCE
83.,Ruchira Papers,121.25,6.19,361.87,-21.67,-58.18,-6.75,-31.92,68.67,0.00,0.87,-15.94,43.27,-4.49,0.00,24.05,RUCHIRA
84.,Trident Techlabs,212.80,66.38,367.74,,,,,67.97,12.36,1.69,,47.21,4.72,-24.51,24.00,TECHLABS
85.,Dynamic Cables,380.55,24.66,837.74,21.12,13.25,25.28,47.74,74.45,0.08,0.08,7.90,41.60,-15.21,0.01,23.89,DYCL
86.,SBC Exports,20.15,52.65,639.68,0.15,21.89,54.33,32.71,65.91,0.00,0.03,12.48,39.29,-0.93,0.22,23.69,SBC
87.,RBZ Jewellers Lt,153.30,27.41,613.20,25.31,14.33,56.21,-19.95,75.00,3.03,4.33,,44.84,-5.39,-25.00,23.65,RBZJEWEL
88.,Dhunseri Invest.,1200.55,8.66,732.00,84.96,-101.62,20.14,-101.09,74.95,0.04,0.09,28.03,49.88,-34.04,0.00,23.34,DHUNINV
89.,Par Drugs & Che.,215.65,18.65,265.35,4.67,82.89,-7.30,-30.06,74.21,0.00,0.07,4.46,57.70,-0.46,0.00,22.99,PAR
90.,Talbros Engg.,571.20,16.00,289.97,-0.26,-38.33,5.77,0.00,72.38,0.02,0.00,-6.92,34.77,-24.86,0.00,22.75,538987
91.,Sheetal Cool,367.85,22.16,386.24,1.39,-26.45,-10.72,-8.56,65.59,0.37,0.04,-8.71,49.22,-0.43,0.00,22.70,SCPL
92.,Unihealth Consul,131.40,26.49,202.36,,,,,68.80,3.31,5.61,,43.00,-4.51,,22.45,UNIHEALTH
93.,ADC India,896.50,31.97,412.39,9.59,67.02,-12.92,-14.36,72.02,0.00,0.00,20.05,41.08,-24.04,0.00,21.80,523411
