SYMBOL,MARKET_CAP,INDUSTRY,SECTOR,MACRO,FNO,P/E,Mar Cap Rs.Cr.,Qtr Sales Var %,Qtr Profit Var %,QoQ Sales %,QoQ Profits %,Prom. Hold. %,DII Hold %,FII Hold %,Exp Qtr Sales Var %,RSI Rs.,MACD Signal Rs.,Change in Prom Hold %,ROCE
RELIANCE,1966482,Petroleum Products,Oil Gas & Consumable Fuels,Energy,1,28.18,1968849.2,3.85,9.94,-2.93,-1.19,50.3,16.59,22.13,0.69,51.03,9.2,0.03,9.14
TCS,1414310,IT - Software,Information Technology,Information Technology,TRUE,31.04,1414997.85,4.04,8.54,1.49,-2.49,72.41,10.03,12.46,10.32,38.14,24.13,0.11,58.67
HDFCBANK,1095851,Banks,Financial Services,Financial Services,TRUE,16.11,1096078.95,73.34,35.91,3.96,2.34,0,30.54,52.31,61.5,49.09,-4.16,0,6.24
ICICIBANK,764989,Banks,Financial Services,Financial Services,TRUE,18.04,765550.41,29.24,25.71,4.95,1.45,0,46,43.65,35.74,62.89,14.41,0,6.32
BHARTIARTL,699534,Telecom - Services,Telecommunication,Telecommunication,TRUE,64.16,731724.45,5.85,34.27,2.31,37.42,54.57,19.51,22.69,10.35,68.6,23.47,-0.18,12.3
SBIN,666222,Banks,Financial Services,Financial Services,TRUE,9.69,666400.77,23.33,3.87,5.1,-30.33,57.49,24.15,10.91,28.34,53.22,11.43,0,5.2
INFY,627360,IT - Software,Information Technology,Information Technology,TRUE,25.68,626280.51,1.31,-7.29,-0.44,-1.64,14.78,35.51,33.7,8.44,28,-15.22,-0.11,40.48
LICI,573045,Insurance,Financial Services,Financial Services,FALSE,14.21,573266.17,8.32,49.1,5.5,19.17,96.5,1,0.06,2.22,40.43,-14.22,0,148.72
ITC,534581,Diversified FMCG,Fast Moving Consumer Goods,Fast Moving Consumer Goods,TRUE,26.14,534955.81,1.78,6.65,1.38,8.9,0,41.98,43.26,1.32,58.68,-2.95,0,39.01
HINDUNILVR,531478,Diversified FMCG,Fast Moving Consumer Goods,Fast Moving Consumer Goods,TRUE,51.41,530197.02,-0.19,-0.77,-0.36,-5.61,61.9,12.31,13.65,4.83,29.06,-33.45,0,26.55
LT,496241,Construction,Construction,Industrials,TRUE,39.31,497313.52,18.84,18.61,8.04,-6.57,0,37.34,25.5,19.95,57.02,33.5,0,11.6
HCLTECH,422463,IT - Software,Information Technology,Information Technology,TRUE,26.94,422748.32,6.54,6.2,6.65,13.51,60.81,15.12,19.42,11.02,36.75,4.71,0,28.26
BAJFINANCE,418627,Finance,Financial Services,Financial Services,TRUE,30.36,418497.22,31.28,22.4,5.85,2.48,54.78,14.01,20.92,32.94,59.39,-75.57,-1.09,11.77
SUNPHARMA,387733,Pharmaceuticals & Biotechnology,Healthcare,Healthcare,TRUE,41.23,386029,10.14,19.23,1.54,7.36,54.48,19.42,17.08,11.93,64.25,26.2,0,16.44
MARUTI,386841,Automobiles,Automobile and Auto Components,Consumer Discretionary,TRUE,31.82,387900.46,14.57,33.28,-10.25,-15.3,58.19,17.64,20.6,20.39,73.84,208.24,1.71,14.5
ADANIENT,353742,Metals & Minerals Trading,Metals & Mining,Commodities,TRUE,94.37,354278.15,6.48,155.24,25.84,491.81,72.61,5.44,14.65,-8.2,46.95,-11.69,0,9.49
KOTAKBANK,352841,Banks,Financial Services,Financial Services,TRUE,20.25,353129.66,31.64,6.75,5.67,-4.4,25.91,21.38,39.74,36.11,59,-4.78,-0.02,6.86
ONGC,331302,Oil,Oil Gas & Consumable Fuels,Energy,TRUE,7.22,331175.85,-2.15,-9.91,12.73,-35.07,58.89,18.73,9.2,-4.85,48.66,2,0,13.92
TITAN,327775,Consumer Durables,Consumer Durables,Consumer Discretionary,TRUE,95.36,329075.7,22.01,16.48,13.05,14.96,52.9,10.25,18.89,29.05,54.19,-2.62,0,25.08
TATAMOTORS,325596,Automobiles,Automobile and Auto Components,Consumer Discretionary,TRUE,17.8,358621.67,24.96,139.98,5.18,86.46,46.37,17.25,18.62,33.38,55.45,20.78,-0.01,5.95
AXISBANK,318166,Banks,Financial Services,Financial Services,TRUE,12.36,318875.69,26.37,4.92,5.28,4.65,8.2,28.83,54.68,32.38,37.14,-4.71,-0.02,5.12
NTPC,314172,Power,Power,Utilities,TRUE,16.15,314899.23,-3.99,7.93,-4.81,10.21,51.1,28.7,17.05,4.32,45.98,-0.31,0,9.83
ADANIGREEN,292254,Power,Power,Utilities,FALSE,178.39,293323.21,17.25,136.97,4.1,-31,56.37,1.5,18.03,43.15,48.78,18,0.11,7.81
DMART,279295,Retailing,Consumer Services,Consumer Discretionary,FALSE,114.96,279659.04,17.32,17.09,7.51,10.76,74.65,8.45,7.96,18.59,76.24,59.92,0,20.1
ULTRACEMCO,278707,Cement & Cement Products,Construction Materials,Commodities,TRUE,43.61,279502.68,7.85,67.72,4.55,38.61,59.96,13.68,18.2,14.74,47.05,-84.61,0,12.91
ADANIPORTS,275785,Transport Infrastructure,Services,Services,TRUE,31.45,276843.41,44.59,67.86,4.12,25.35,65.89,12.01,14.72,33.99,51.08,7.61,0.36,9.53
ASIANPAINT,272873,Consumer Durables,Consumer Durables,Consumer Discretionary,TRUE,49.96,272556.05,5.4,34.96,7.37,19.7,52.62,10.52,17.32,5.97,41.67,-41.53,-0.01,34.37
COALINDIA,266353,Consumable Fuels,Oil Gas & Consumable Fuels,Energy,TRUE,9.07,266199.05,2.8,17.49,10.3,33.47,63.13,23.06,8.59,8.04,48.9,0.35,0,70.49
POWERGRID,256929,Power,Power,Utilities,TRUE,16.3,256464.15,2.56,10.5,2.51,6.53,51.34,14.77,30.51,5.13,51.18,0.96,0,13.09
WIPRO,255058,IT - Software,Information Technology,Information Technology,TRUE,22.55,254509.39,-4.41,-11.75,-1.38,1.25,72.9,8.05,6.81,3.27,38.16,1.64,-0.03,17.7
BAJAJ-AUTO,253619,Automobiles,Automobile and Auto Components,Consumer Discretionary,TRUE,34.22,253311.37,30.55,38.02,12.24,0.62,54.94,8.66,14.64,19.96,68.07,199.38,-0.04,26.18
BAJAJFINSV,252725,Finance,Financial Services,Financial Services,TRUE,32.48,253291.83,33.48,21.08,11.59,7.71,60.69,7.48,7.91,32.41,49.28,-6.5,0,11.28
NESTLEIND,247403,Food Products,Fast Moving Consumer Goods,Fast Moving Consumer Goods,TRUE,82.63,248116.2,8.07,17.02,-8.66,-27.8,62.76,9.16,12.09,13.42,52.31,12.41,0,135.09
IOC,233706,Petroleum Products,Oil Gas & Consumable Fuels,Energy,TRUE,4.98,233212.25,-2.82,1067.77,11.53,-32.73,51.5,9.9,8.84,-2.54,47.87,-0.34,0,8.09
M&M,233162,Automobiles,Automobile and Auto Components,Consumer Discretionary,TRUE,,,,,,,,,,,,,,
JIOFIN,219951,Finance,Financial Services,Financial Services,FALSE,8709.86,218965.94,,,-31.98,-56.03,47.12,12.99,19.83,,59.98,17.38,0.35,
DLF,214610,Realty,Realty,Consumer Discretionary,TRUE,90.31,214337.24,1.77,26.6,12.88,5.44,74.08,5.47,15.75,-0.52,51.95,6.05,0,4.61
HAL,211935,Aerospace & Defense,Capital Goods,Industrials,TRUE,34.51,212055.18,6.97,8.62,7.54,1.47,71.64,9.13,12.93,8.14,53.83,38.05,0,30.58
ADANIPOWER,203974,Power,Power,Utilities,FALSE,8.78,204822.74,67.32,31119.61,0.01,-58.48,71.75,1.18,15.86,36.4,43.89,-4.26,1.73,15.8
JSWSTEEL,200527,Ferrous Metals,Metals & Mining,Commodities,TRUE,18.64,201701.04,7.17,409.49,-5.93,-11.65,44.81,9.48,26.33,6.06,54.45,-3.95,0.02,8.33
TATASTEEL,189063,Ferrous Metals,Metals & Mining,Commodities,TRUE,97.98,189499.94,-3.1,139.9,-0.66,108.02,33.19,23.07,19.37,-6.46,56.9,2.05,-0.72,12.63
IRFC,184266,Finance,Financial Services,Financial Services,FALSE,30.5,184200.59,8.42,-1.79,-0.37,3.51,86.36,1.15,1.15,12.3,49.24,-3.07,0,5.32
VBL,182168,Beverages,Fast Moving Consumer Goods,Fast Moving Consumer Goods,FALSE,86,182226.52,20.48,76.55,-31.08,-72.03,63.09,3.58,26.58,22.46,49.25,13.37,0,28.82
SIEMENS,177668,Electrical Equipment,Capital Goods,Industrials,TRUE,91.77,177759.21,21.69,5.9,-17.57,-13.22,75,7.71,7.89,22.27,68.05,116.12,0,20.66
ZOMATO,153200,Retailing,Consumer Services,Consumer Discretionary,FALSE,,153640.63,68.77,139.82,15.45,283.33,0,15.47,54.88,70.14,66.5,3.15,0,-5.79
PIDILITIND,151024,Chemicals & Petrochemicals,Chemicals,Commodities,TRUE,87.95,150553.45,4.42,67.83,1.75,11.43,69.84,8.32,11.49,4.8,66.88,52.05,-0.02,23.83
SBILIFE,149736,Insurance,Financial Services,Financial Services,TRUE,80.82,150316.66,45.55,5.79,35.51,-15.37,55.43,14.63,25.92,131.22,51.88,5.78,-0.01,15.47
LTIM,148319,IT - Software,Information Technology,Information Technology,TRUE,32.25,148229.77,4.6,16.83,1.25,0.6,68.64,12.85,8.65,31.77,32.58,-101.89,-0.02,37.72
GRASIM,146182,Cement & Cement Products,Construction Materials,Commodities,TRUE,26.42,148562.85,11.62,-39.8,5.77,28.62,43.06,16.76,12.43,12.21,56.6,16.48,0.31,9.97
BEL,144551,Aerospace & Defense,Capital Goods,Industrials,TRUE,40.45,144368.13,0.22,40.22,3.82,8.93,51.14,23.37,17.77,3.52,51.61,1.63,0,29.92
TRENT,140741,Retailing,Consumer Services,Consumer Discretionary,TRUE,172.78,140367.78,50.5,139.42,16.24,62.52,37.01,14.82,25.91,52.65,54.78,108.14,0,11.5
PNB,135160,Banks,Financial Services,Financial Services,TRUE,17.72,135160.22,22.11,243.48,3.7,22.68,73.15,13.74,3.1,28.4,52.09,0.99,0,4.1
BANKBARODA,134481,Banks,Financial Services,Financial Services,TRUE,7.11,134351.99,20.97,11.21,2.66,8.77,63.97,15.75,12.27,33.07,48.52,1.29,0,5.17
HDFCLIFE,134031,Insurance,Financial Services,Financial Services,TRUE,88.02,134181.53,37.55,16.34,16.36,-2.82,50.37,6.56,31.28,76.85,58.41,7.5,-0.02,9.56
PFC,129133,Finance,Financial Services,Financial Services,TRUE,6.87,129248.49,20.02,22.46,5.27,-5.04,55.99,17.47,17.85,14.17,45.22,-7.9,0,9.08
BPCL,128528,Petroleum Products,Oil Gas & Consumable Fuels,Energy,TRUE,4.22,128593.3,-3.08,76.61,12.09,-61.41,52.98,22.13,14.21,-1.28,48.84,5.53,0,6.86
INDIGO,126852,Transport Services,Services,Services,TRUE,17.65,126863.48,30.26,111.43,30.17,1496.13,63.13,14.65,18.7,37.74,61,37.53,-0.11,6.9
ABB,126085,Electrical Equipment,Capital Goods,Industrials,TRUE,101.31,126454.2,13.62,12.84,-0.42,-6.67,75,6.92,10.72,22.25,70.61,230.94,0,30.49
HINDZINC,125133,Non - Ferrous Metals,Metals & Mining,Commodities,FALSE,15.01,125069.44,-7.07,-5.52,7.63,17.33,64.92,2.97,0.69,-12.33,39.72,-3.68,0,50.39
TATAPOWER,124874,Power,Power,Utilities,TRUE,36.46,124841.92,3.69,0.85,-6.91,5.77,46.86,16.11,9.85,6.41,52.84,4.51,0,11.74
GODREJCP,123761,Personal Products,Fast Moving Consumer Goods,Fast Moving Consumer Goods,TRUE,66.79,124952.85,1.69,6.1,1.6,34.27,63.21,8.38,22.94,6.86,49.44,4.81,0,16.51
TECHM,123340,IT - Software,Information Technology,Information Technology,TRUE,43.81,123306.25,-4.61,-60.29,1.85,3.64,35.11,28.91,24.58,2.68,43.38,-8.25,-0.02,22.14
HINDALCO,122743,Non - Ferrous Metals,Metals & Mining,Commodities,TRUE,13.12,123091.29,-0.65,71.15,-2.51,6.15,34.64,25.06,27.89,-3.14,57.76,-3.78,0,11.34
RECLTD,121168,Finance,Financial Services,Financial Services,TRUE,9.23,121154.64,23.21,13.48,3.11,-12.7,52.63,14.16,20.6,16.27,51.4,-3.22,0,9.14
CIPLA,119296,Pharmaceuticals & Biotechnology,Healthcare,Healthcare,TRUE,30.29,119591,13.66,49.26,-1.11,-7.53,33.47,24.05,25.73,13.89,55.27,15.77,0,18.02
INDUSINDBK,118066,Banks,Financial Services,Financial Services,TRUE,13.62,117684.45,22.36,17.29,2.88,5.33,15.84,26.21,42.47,27.46,52.13,-7.22,0.01,6.91
AMBUJACEM,117352,Cement & Cement Products,Construction Materials,Commodities,TRUE,35.9,117024,2.81,54.63,9.49,10.36,63.19,15.56,11.88,4.11,51.29,4.82,0.04,12.62
BRITANNIA,116725,Food Products,Fast Moving Consumer Goods,Fast Moving Consumer Goods,TRUE,54.32,117182.43,1.42,-11.17,-3.98,-5.26,50.55,14.84,18.99,5.89,45.91,-32.24,0,48.59
LODHA,115552,Realty,Realty,Consumer Discretionary,FALSE,67.38,115173.75,65.22,44.5,67.5,149.11,72.67,3.32,23.26,11.27,56.67,-0.88,-2.26,8.76
GAIL,114637,Gas,Oil Gas & Consumable Fuels,Energy,TRUE,14.2,114472.48,-3.31,703.18,5.19,30.76,51.9,19.37,14.24,-2.45,45.43,0.57,-0.01,9.76
UNIONBANK,113206,Banks,Financial Services,Financial Services,FALSE,8.51,113053.7,21.72,60.16,3.19,1.5,74.76,12.59,6,26.4,51.51,1.98,-2.23,5.02
ADANIENSOL,113111,Power,Power,Utilities,FALSE,97.22,113289.44,28.47,-31.56,24.19,22.58,73.22,3.82,17.49,18.55,44.99,-11.96,0,10.22
IOB,112469,Banks,Financial Services,Financial Services,FALSE,45.07,112563.86,22.15,30.15,6.09,15.69,96.38,1.29,0.03,22.75,46.58,-0.06,0,4.53
EICHERMOT,109248,Automobiles,Automobile and Auto Components,Consumer Discretionary,TRUE,28.47,109204.64,12.3,34.44,1.56,-2,49.15,9.73,30.27,16.34,61.87,-15.8,-0.01,27.35
TATACONSUM,107070,Agricultural Food & other Products,Fast Moving Consumer Goods,Fast Moving Consumer Goods,TRUE,83.6,106979.53,9.48,15.16,1.88,-17.15,33.56,16.89,25.51,11.7,39.58,9.04,-0.85,9.32
DRREDDY,103678,Pharmaceuticals & Biotechnology,Healthcare,Healthcare,TRUE,19.79,103480.71,6.58,11.01,4.84,-6.83,26.65,18.65,28.62,14.84,47.56,28.3,-0.01,26.73
CANBK,103596,Banks,Financial Services,Financial Services,TRUE,7.09,103976.88,26.29,24.97,4.41,-0.06,62.93,14.29,11.21,32.36,55.92,7.35,0,5.33
ATGL,103261,Gas,Oil Gas & Consumable Fuels,Energy,FALSE,172.83,103255.67,4.58,17.61,5.53,2.29,74.8,6.14,13.06,3.63,41.7,-15.17,0,20.74
VEDL,100866,Diversified Metals,Metals & Mining,Commodities,TRUE,20.24,100773.46,4.22,0.98,-8.74,413.44,63.71,11.19,7.74,-1.46,51.05,-0.09,0,21.18
ZYDUSLIFE,100513,Pharmaceuticals & Biotechnology,Healthcare,Healthcare,TRUE,30.94,101195.11,5.83,23.34,3.12,-1.66,74.98,12.96,4.99,18.1,68.63,40.06,0,14.96
TVSMOTOR,97398,Automobiles,Automobile and Auto Components,Consumer Discretionary,TRUE,59.59,97433.51,25.39,58.87,1.82,22.52,50.27,21.79,19.27,21.75,40.84,10.85,0,13.19
HEROMOTOCO,93926,Automobiles,Automobile and Auto Components,Consumer Discretionary,TRUE,25.19,93643.34,20.56,51.28,2.67,8.35,34.76,28.09,28.34,10.6,56.71,9.92,-0.01,22.72
BAJAJHLDNG,93019,Finance,Financial Services,Financial Services,FALSE,15.83,93428.51,9.8,27.91,-51.92,3.58,51.46,5.95,11.57,12.78,46.42,-49.16,0,9.71
DABUR,92323,Personal Products,Fast Moving Consumer Goods,Fast Moving Consumer Goods,TRUE,52.35,92287.8,6.96,6.41,1.6,-0.12,66.24,11.66,16.49,7.92,40.24,-4.03,0.01,22.73
HAVELLS,92310,Consumer Durables,Consumer Durables,Consumer Discretionary,TRUE,77.89,92075.4,6.94,1.55,13.17,15.59,59.43,10,23.96,9.37,49.76,25.29,0,22.31
CHOLAFIN,91581,Finance,Financial Services,Financial Services,TRUE,28.5,91496.79,49.2,27.34,8.33,12.83,50.37,18.39,24.73,48.64,50.29,-22.86,-1.06,9.72
APOLLOHOSP,91519,Healthcare Services,Healthcare,Healthcare,TRUE,116.32,91675.66,13.77,59.8,0.08,2.25,29.34,18.87,46.25,16.22,57.99,-52.77,0,14.5
SHREECEM,91479,Cement & Cement Products,Construction Materials,Commodities,TRUE,38.9,91522.61,20.45,165.29,6.9,49.44,62.55,12.37,12.31,19.33,46.62,-498.65,0,8.99
DIVISLAB,91082,Pharmaceuticals & Biotechnology,Healthcare,Healthcare,TRUE,65.87,91094.22,8.61,16.99,-2.83,2.87,51.92,21.78,14.85,-8.01,37.41,-47.97,-0.01,19.36
BOSCHLTD,88776,Auto Components,Automobile and Auto Components,Consumer Discretionary,TRUE,52.85,89007.97,14.9,48.23,1.82,-48.13,70.54,17.28,3.68,16.9,66.63,951.16,0,17.39
MANKIND,88170,Pharmaceuticals & Biotechnology,Healthcare,Healthcare,FALSE,53.74,88686.27,21.81,95.71,-3.86,3,76.5,9.78,6.74,13.94,57.94,2.02,0,20.7
IDBI,87955,Banks,Financial Services,Financial Services,FALSE,16.38,87470.79,25.23,59.66,8.46,8.71,94.71,0.15,0.32,30.19,46.03,-0.74,0,4.26
SHRIRAMFIN,87552,Finance,Financial Services,Financial Services,TRUE,13.19,87586.03,19.31,3.74,4.69,4.56,25.43,15.77,53.97,26.68,47.26,-4.71,-0.02,12.13
TORNTPHARM,86361,Pharmaceuticals & Biotechnology,Healthcare,Healthcare,TRUE,60.49,86631.37,9.67,30.55,2.71,14.77,71.25,7.11,14.08,13.2,44.62,11.77,0,19.82
NHPC,85584,Power,Power,Utilities,FALSE,22.98,85433.02,-20.41,-26.76,-29.88,-62.89,70.95,13.42,7.38,-4.06,47.5,-0.77,0,8.49
JINDALSTEL,85126,Ferrous Metals,Metals & Mining,Commodities,TRUE,15.3,84963.14,-6.03,174.3,-4.48,38.69,61.2,15.33,11.75,-5.81,58.65,10.66,0,14.17
JSWENERGY,84693,Power,Power,Utilities,FALSE,51.58,84774.81,13.11,28.8,-21.99,-72.89,73.38,9.36,8.5,14.73,56.73,1.86,0,7.28
SOLARINDS,84427,Chemicals & Petrochemicals,Chemicals,Commodities,FALSE,104.53,84354.83,-21.12,-0.61,6.06,6.2,73.15,15.05,5.9,7.43,73.06,393.97,0,34.72
ICICIPRULI,83287,Insurance,Financial Services,Financial Services,TRUE,91.87,83812.76,51.67,2.42,52,-6.95,73.27,6.92,14.73,474.21,62.55,13.55,-0.02,10.02
BHEL,83082,Electrical Equipment,Capital Goods,Industrials,TRUE,,83256.13,4.57,-451.87,7.39,37.52,63.17,17.58,7.04,2.93,54.31,2.69,0,3.33
MCDOWELL-N,82416,Beverages,Fast Moving Consumer Goods,Fast Moving Consumer Goods,TRUE,64.9,82517.95,8.04,-3.5,4.7,3.21,56.67,12.49,16.23,3.99,52.49,0.2,0,20.05
ICICIGI,82055,Insurance,Financial Services,Financial Services,TRUE,44.8,82261.54,13.51,22.39,-1.45,-25.26,47.91,17.86,23.04,13.02,57.74,20.36,-0.09,21.24
CUMMINSIND,81634,Industrial Products,Capital Goods,Industrials,TRUE,57.26,81241.78,16.21,26.67,33.39,38.48,51,23.36,16.51,18.7,72.9,81.69,0,26.82
CGPOWER,81575,Electrical Equipment,Capital Goods,Industrials,FALSE,95.27,81857.42,12.91,-6.61,-1.14,208.58,58.11,9.15,16.05,18.25,74.52,9.95,-0.01,61.65
HDFCAMC,80697,Capital Markets,Financial Services,Financial Services,TRUE,45.23,80556.05,19.97,32.57,4.39,11.92,52.55,19.5,17.99,13.76,53.83,23.22,0,32.31
INDHOTEL,79790,Leisure Services,Consumer Services,Consumer Discretionary,TRUE,67.79,79292.29,16.49,18.12,37.02,166.49,38.12,22.19,23.28,33.8,50.57,9.61,-0.07,12.58
MOTHERSON,78844,Auto Components,Automobile and Auto Components,Consumer Discretionary,TRUE,49.07,78809.78,26.79,19.35,9.47,115.3,64.79,15.27,10.78,28.18,52.86,0.1,0.03,8.76
SRF,75470,Chemicals & Petrochemicals,Chemicals,Commodities,TRUE,51.23,75616.49,-12.01,-50.4,-3.91,-15.74,50.53,14.51,19.6,-8.01,68.23,26.76,0,22.37
IRCTC,74360,Leisure Services,Consumer Services,Consumer Discretionary,TRUE,65.38,74296,21.81,21.98,12.36,1.81,62.4,11.98,7.34,25.39,50.95,-5.4,0,59.19
INDUSTOWER,74165,Telecom - Services,Telecommunication,Telecommunication,TRUE,13.1,73113.64,4.94,451.08,-0.47,18.99,69,7.08,20.71,-1.99,65.27,6.25,0,11.33
POLYCAB,73746,Industrial Products,Capital Goods,Industrials,TRUE,44.36,73759.87,16.83,15.43,2.91,-3.09,65.79,7.61,13.41,23.1,56.5,57.46,-0.12,26.97
COLPAL,73627,Personal Products,Fast Moving Consumer Goods,Fast Moving Consumer Goods,TRUE,57.74,73655.07,8.08,35.71,-5.13,-2.92,51,5.6,24.62,7.09,61.53,34.28,0,79.13
LUPIN,73265,Pharmaceuticals & Biotechnology,Healthcare,Healthcare,TRUE,40.91,73276.19,20.25,299.5,3.15,24.91,47.04,29.72,16.11,21.24,50.7,20.2,-0.02,5.73
OFSS,72581,IT - Software,Information Technology,Information Technology,TRUE,33.96,72615.44,25.83,69.39,26.25,77.46,72.78,9.48,6.89,13.36,62.06,355.32,-0.03,35.11
MAXHEALTH,72087,Healthcare Services,Healthcare,Healthcare,FALSE,67.95,71829.19,16.92,30.09,-2.07,4.58,23.75,11.55,60.69,21.53,42.94,-14.97,-0.01,14.99
TIINDIA,72080,Auto Components,Automobile and Auto Components,Consumer Discretionary,FALSE,82.59,72407.74,15.2,-17.5,-2.52,141.6,45.11,14.14,28.83,11.17,58.69,-25.7,-1.01,31.58
YESBANK,68607,Banks,Financial Services,Financial Services,FALSE,67.13,68750.96,18.98,340.51,4.09,6.1,0,41.98,23.79,23.1,48.31,-0.64,0,4.94
NAUKRI,67767,Retailing,Consumer Services,Consumer Discretionary,TRUE,320.94,67837.39,6.38,-70.87,0.2,-50.18,37.91,19.46,30.47,12.93,52.78,-10.91,-0.07,2.76
HINDPETRO,67147,Petroleum Products,Oil Gas & Consumable Fuels,Energy,TRUE,3.97,67161.17,1.51,60.46,16.29,-87.77,54.9,21.27,14.26,-0.09,43.76,-5.28,0,-8.08
SBICARD,66772,Finance,Financial Services,Financial Services,TRUE,28.59,66952.92,31.76,7.78,13.05,-8.94,68.75,16.27,9.35,28.54,45.42,-7.97,-0.19,13.05
INDIANB,66028,Banks,Financial Services,Financial Services,FALSE,8.63,65927.15,19.99,51.68,3.19,6.63,73.84,15.84,5.89,25.21,43.67,-0.95,-6.02,4.55
IDEA,65474,Telecom - Services,Telecommunication,Telecommunication,TRUE,,,,,,,,,,,,,,
BERGEPAINT,65266,Consumer Durables,Consumer Durables,Consumer Discretionary,TRUE,57.53,65090.75,6.99,49.12,4.14,2.75,74.99,4.67,10.68,7.94,45.91,-2.51,0,23.75
MARICO,64445,Agricultural Food & other Products,Fast Moving Consumer Goods,Fast Moving Consumer Goods,TRUE,43.97,64412.79,-1.94,16.77,-2.18,7.22,59.39,9.63,25.69,-0.66,40.31,-7.01,-0.01,41.93
OIL,63118,Oil,Oil Gas & Consumable Fuels,Energy,FALSE,9.06,63085.27,3.36,2.79,28.25,307.22,56.66,15.98,10.99,-12.41,54.84,20.67,0,25.35
GODREJPROP,62393,Realty,Realty,Consumer Discretionary,TRUE,93.76,62460.63,68.39,10.41,-3.66,-13.66,58.48,4.69,29.73,111.54,45.89,-19.04,0,5.69
BANKINDIA,61802,Banks,Financial Services,Financial Services,FALSE,9.66,61825.23,19.72,111.05,1.7,28.83,73.38,14.65,4.31,32.42,49.84,0.01,-8.03,4.42
PERSISTENT,61581,IT - Software,Information Technology,Information Technology,TRUE,59.63,61399.71,15.16,10.13,3.59,8.68,31.06,26.13,24.55,23.22,40.85,-37.69,0,30.3
UCOBANK,61394,Banks,Financial Services,Financial Services,FALSE,36.02,61573.18,19.99,-22.99,6.38,25.18,95.39,1.32,0.01,27.96,45.54,-0.4,0,4.75
TORNTPOWER,61375,Power,Power,Utilities,FALSE,33.31,61694.37,-1.19,-47.44,-8.55,-31.04,53.57,21.62,6.13,18.03,65.62,26.75,0,18.3
NMDC,59770,Minerals & Mining,Metals & Mining,Commodities,TRUE,10.36,59696.44,45.43,82.98,34.78,44.42,60.79,17.33,9.91,15.43,37.68,-4.78,0,30.22
AUROPHARMA,59590,Pharmaceuticals & Biotechnology,Healthcare,Healthcare,TRUE,21.31,59756.95,14.74,90.69,1.83,25.01,51.84,20.6,20.72,15.63,45.89,-9.24,0,9.2
GICRE,59123,Insurance,Financial Services,Financial Services,FALSE,9.16,58807.49,-3.53,26.6,-16.91,-5.43,85.78,11.11,0.95,-3.01,41.45,-10.22,0,20.59
PIIND,57623,Fertilizers & Agrochemicals,Chemicals,Commodities,TRUE,36.12,57518.61,17.62,27.52,-10.36,-6.64,46.09,23,20.41,18.62,63.5,42.54,0,21.69
ALKEM,57212,Pharmaceuticals & Biotechnology,Healthcare,Healthcare,TRUE,34.04,57268.65,9.31,40.03,-3.38,-1.73,56.74,15.91,8.49,13.08,35.19,-49.56,0,13.67
MUTHOOTFIN,57132,Finance,Financial Services,Financial Services,TRUE,14.68,57181.81,19.1,13.93,3.53,3.66,73.35,14.61,8.34,17.24,59.98,-1.52,0,12.06
JSL,57060,Ferrous Metals,Metals & Mining,Commodities,FALSE,20.15,57068.13,0.72,38.94,-6.83,-9.53,58.69,5.81,22.56,9.95,60.95,15.11,0.74,20.77
LTTS,56694,IT - Services,Information Technology,Information Technology,TRUE,43.59,56786.51,12.28,13.27,1.48,6.62,73.75,11.33,5.63,16.61,51.92,-26.32,-0.02,32.65
MRF,55729,Auto Components,Automobile and Auto Components,Consumer Discretionary,TRUE,27.48,55672.45,9.18,191.55,-0.88,-13.12,27.76,11.45,19.41,9.79,28.12,-1220.05,0.01,7.43
LINDEINDIA,55520,Chemicals & Petrochemicals,Chemicals,Commodities,FALSE,132.3,55663.11,1.33,3.5,-0.72,9.78,75,7.22,2.25,11.26,64.75,193.23,0,20.81
IDFCFIRSTB,55145,Banks,Financial Services,Financial Services,TRUE,18.23,55180.76,33.28,18.73,7.11,-1.98,37.45,6.63,24.3,36.86,41.36,-1.17,-1.92,6.59
TATACOMM,55034,Telecom - Services,Telecommunication,Telecommunication,TRUE,59.66,54795.53,24.4,-102.15,15.61,-79.64,58.87,12.12,19.2,13.59,53.85,38.7,0.01,23.89
PGHH,53888,Personal Products,Fast Moving Consumer Goods,Fast Moving Consumer Goods,FALSE,71.44,53996.32,-0.35,10.33,-0.43,8.64,70.64,15.29,1.48,2.49,59.6,-157.19,0,100.63
SAIL,53573,Ferrous Metals,Metals & Mining,Commodities,TRUE,15.9,53696.83,-6.76,14.45,-21.42,-67.61,65,15.46,4.34,1.07,52.77,0.42,0,5.89
CONCOR,52908,Transport Services,Services,Services,TRUE,43.27,52892.84,10.28,12.66,0.72,-10.29,54.8,22.76,19.55,6.15,39.51,-13.71,0,13.7
BHARATFORG,52693,Industrial Products,Capital Goods,Industrials,TRUE,63.3,52562.63,15.3,223.19,2.44,18.42,45.25,27.74,16.6,19.14,45.03,-16.26,0,7.7
OBEROIRLTY,52613,Realty,Realty,Consumer Discretionary,TRUE,32.5,52607.79,-35.34,-48.74,-13.45,-21.15,67.7,12.05,17.41,17.39,65.18,-0.36,0,16.03
POLICYBZR,52554,Financial Technology (Fintech),Financial Services,Financial Services,FALSE,,51983.15,42.75,142.65,7.3,276.45,0,18.97,46,45.06,61,40.14,0,-8.27
