SYMBOL,MARKET_CAP,INDUSTRY,SECTOR,MACRO,FNO,P/E,Mar Cap Rs.Cr.,Qtr Sales Var %,Qtr Profit Var %,QoQ Sales %,QoQ Profits %,Prom. Hold. %,DII Hold %,FII Hold %,Exp Qtr Sales Var %,RSI Rs.,MACD Signal Rs.,Change in Prom Hold %,ROCE
SHARDACROP,2995,Fertilizers & Agrochemicals,Chemicals,Commodities,FALSE,34.24,2987.2,-37.83,-95.72,8.9,116.82,74.82,12.42,2.06,-13.45,32.25,-13.26,0,20.75
CARTRADE,2986,Retailing,Consumer Services,Consumer Discretionary,FALSE,46.84,2988.63,42.57,68.53,15.48,-567.26,0,4.38,71.93,24.76,32.55,-13.47,0,3.16
SANDHAR,2985,Auto Components,Automobile and Auto Components,Consumer Discretionary,FALSE,30.52,2998.1,23.11,28.2,0.53,-7.81,70.38,16.41,1.52,19.29,49.83,-1.57,0,8.7
BANARISUG,2981,Agricultural Food & other Products,Fast Moving Consumer Goods,Fast Moving Consumer Goods,FALSE,16.34,2948.08,-17.61,66.63,28,39.46,58.7,0,0.26,10.24,40.69,-35.66,0,11.93
GUFICBIO,2974,Pharmaceuticals & Biotechnology,Healthcare,Healthcare,FALSE,35.42,2982.75,13.7,9.44,-6.09,-4.09,72.51,1.72,0.47,15.74,44.04,-8.91,-2.49,22.63
KALAMANDIR,2968,Retailing,Consumer Services,Consumer Discretionary,FALSE,32.37,2990.64,1.01,2.11,17.01,36.94,60.8,19.83,4.59,,40.37,-14.25,0,23.65
DOLLAR,2961,Textiles & Apparels,Textiles,Consumer Discretionary,FALSE,48.26,2946.12,15.55,102.75,-20,-30.65,73.09,0.58,0.48,9.33,57.96,7.04,0,9.79
GREAVESCOT,2960,Industrial Products,Capital Goods,Industrials,FALSE,95.6,2967.28,29.57,349.78,-8.44,112.17,56,3.44,3.18,15.12,32.78,-7.29,0,9.09
PRAKASH,2955,Ferrous Metals,Metals & Mining,Commodities,FALSE,9.34,2962.91,16.34,77.95,-0.44,-9.92,44.24,0.01,5.9,7.32,51.54,-9.96,0,7.87
ESAFSFB,2942,Banks,Financial Services,Financial Services,FALSE,6.1,2949.69,38.94,199.76,3.29,-19.97,63.39,10.98,1.16,,32.22,-2.38,,7.71
MAHLOG,2932,Transport Services,Services,Services,FALSE,,2933.31,5.09,-1739.64,2.38,-9.61,58.04,15.71,5.92,8,47.18,1.29,0,7.36
LANDMARK,2928,Automobiles,Automobile and Auto Components,Consumer Discretionary,FALSE,40.32,2930.58,9.49,-32.99,24.47,-9.85,51.82,15.19,8.4,2.28,43.3,-15.75,-1.05,20.06
VSTTILLERS,2924,Agricultural Commercial & Construction Vehicles,Capital Goods,Industrials,FALSE,23.09,2921.85,-20.46,-12.76,-38.98,-53.5,55.57,16.61,2.02,17.95,65.2,-46.4,0,15.89
FIEMIND,2919,Auto Components,Automobile and Auto Components,Consumer Discretionary,FALSE,18.39,2896.87,10.22,26.88,-4.34,-6.85,66.56,1.42,1.86,1,48.77,-33.36,0,26.61
DALMIASUG,2919,Agricultural Food & other Products,Fast Moving Consumer Goods,Fast Moving Consumer Goods,FALSE,11.77,2923.51,-2.73,-0.37,-20.26,18.25,74.91,0.08,1.07,,37.63,-9.12,0,12.3
SEQUENT,2911,Pharmaceuticals & Biotechnology,Healthcare,Healthcare,FALSE,,2903.41,-12.24,208.77,-4.8,255.23,52.79,7.23,6.12,-4.07,39.67,-4.49,0,-3.43
APOLLO,2905,Aerospace & Defense,Capital Goods,Industrials,FALSE,107.6,2904.06,10.92,27.81,4.8,52.72,53.21,0.01,11.01,20.82,39.15,-5.31,0.54,12.07
MAITHANALL,2905,Ferrous Metals,Metals & Mining,Commodities,FALSE,9.57,2918.72,-34.61,17.22,0.99,37.56,74.99,0.15,1.87,-40.6,42.4,-26.84,0,25.6
GREENPLY,2870,Consumer Durables,Consumer Durables,Consumer Discretionary,FALSE,62.3,2878.47,44.99,-25.06,2.16,93.17,51.97,29.76,4.1,21.32,43.82,-2.42,-0.15,11.63
HLEGLAS,2867,Industrial Manufacturing,Capital Goods,Industrials,FALSE,63.56,2994.47,11.7,-68.7,6.63,-44.82,66.69,3.95,4.24,9.4,26.73,-18.38,0,23.52
SOTL,2861,Petroleum Products,Oil Gas & Consumable Fuels,Energy,FALSE,13.71,2851.43,5.48,138.24,7.83,43.71,71.92,7.4,1.41,7.8,49.58,0.69,0,24.24
SMLISUZU,2857,Agricultural Commercial & Construction Vehicles,Capital Goods,Industrials,FALSE,34.46,2837.42,17.81,2161.54,-22.56,-87.29,43.96,0,15.43,35.83,53.99,65.97,0,9.39
BFUTILITIE,2852,Transport Infrastructure,Services,Services,FALSE,20.73,2861.41,48.22,16.61,12.42,-12.71,56.74,0.09,0.78,37.51,49.19,4.13,0,25.72
ASHIANA,2850,Realty,Realty,Consumer Discretionary,FALSE,37.14,2837.31,41.98,207.18,-46.7,1.65,61.11,7.33,8.24,160.9,42.95,-5.21,0,3.92
ARVSMART,2841,Realty,Realty,Consumer Discretionary,FALSE,80.42,2845.37,60.17,121.18,16,7.57,50.43,11.65,0.49,16.08,61.2,7.81,0,9.21
SHK,2831,Personal Products,Fast Moving Consumer Goods,Fast Moving Consumer Goods,FALSE,30.12,2827.24,28.86,147.73,8.91,6.53,58.95,1.27,8.24,13.06,55.43,0.64,0,8.04
CUPID,2827,Personal Products,Fast Moving Consumer Goods,Fast Moving Consumer Goods,FALSE,115.49,2827.25,-4.96,-11.67,11.88,73.05,45.06,0,0.45,5.95,46.27,39.97,0,26.4
HINDWAREAP,2815,Consumer Durables,Consumer Durables,Consumer Discretionary,FALSE,59.14,2818.11,-2.75,-41.77,-1.06,-77.01,51.32,9.82,7.59,0.63,49.41,-22.14,0,14.74
GMRP&UI,2813,Construction,Construction,Industrials,FALSE,,,,,,,,,,,,,,
INNOVACAP,2802,Pharmaceuticals & Biotechnology,Healthcare,Healthcare,FALSE,42.03,2785.42,24.99,28.35,6.91,9.69,50.9,10.31,3.57,,38.6,-11.13,,23.77
AUTOAXLES,2796,Auto Components,Automobile and Auto Components,Consumer Discretionary,FALSE,16.17,2795.58,-17.45,-22.75,-7.37,-13.17,71.04,11.96,0.63,10.67,42.24,-39.26,0,30.81
SEAMECLTD,2784,Transport Services,Services,Services,FALSE,44.18,2770.82,111.87,3503.64,152.65,490.18,72.04,1.78,3.05,65.64,47.43,-13.05,0,3.35
SAGCEM,2770,Cement & Cement Products,Construction Materials,Commodities,FALSE,90.8,2772.31,16.27,58.13,14.07,3.32,48.31,17.04,2.84,15.67,34.13,-9.41,0,6.7
SUNCLAY,2770,Industrial Products,Capital Goods,Industrials,FALSE,,2744.18,,,85.95,-536.64,74.45,12.3,1.01,,42.8,-53.24,0,-0.52
MPSLTD,2756,Other Consumer Services,Consumer Services,Consumer Discretionary,FALSE,26.09,2756.69,11.67,37.52,4.5,32.29,68.34,0.56,3.71,12.86,55.92,2.24,0,33.72
FLAIR,2751,Household Products,Fast Moving Consumer Goods,Fast Moving Consumer Goods,FALSE,24.62,2747.66,-4.02,-35.01,-11.94,-35.71,78.59,9.57,1.38,,35.38,-11.86,0,33.56
SUPRIYA,2744,Pharmaceuticals & Biotechnology,Healthcare,Healthcare,FALSE,22.78,2742.85,33.22,212.92,-0.02,24.75,68.3,5.39,4.56,16.37,51.74,0.28,0,18.56
SWARAJENG,2742,Industrial Products,Capital Goods,Industrials,FALSE,19.86,2733.8,0.22,3.75,-28.12,-36.02,52.12,9.02,2.71,12.65,43.93,-27.32,0,55.22
FILATEX,2730,Textiles & Apparels,Textiles,Consumer Discretionary,FALSE,28.98,2736.37,1.17,1181.02,-2.25,51.95,64.76,0,5.89,-0.78,49.07,-1,0,12.73
GOODLUCK,2726,Industrial Products,Capital Goods,Industrials,FALSE,22.22,2731.44,24.41,72.55,-0.87,-8.5,54.44,2.16,6.67,13.07,41.98,-44.2,-4.29,16.49
SAKSOFT,2722,IT - Software,Information Technology,Information Technology,FALSE,27.76,2719.18,12.33,13.49,1.28,-10.84,66.64,0.03,3.93,20.68,46.98,-11.47,-0.02,28.41
THEJO,2718,Industrial Manufacturing,Capital Goods,Industrials,FALSE,56.2,2689.83,22.84,93.53,11.82,39.94,54.15,0.72,0,,60.2,59.72,-0.07,20.76
TATVA,2715,Chemicals & Petrochemicals,Chemicals,Commodities,FALSE,65.94,2722.13,-30.18,-70.22,-12.89,-55.53,72.02,13.06,4.21,11.45,31.34,-36.97,0,8.91
JCHAC,2692,Consumer Durables,Consumer Durables,Consumer Discretionary,FALSE,,2693.31,-42.2,-24.01,6.93,51.93,74.25,8.9,0.48,-30.47,33.68,-31.77,0,-9.55
ISMTLTD,2667,Industrial Products,Capital Goods,Industrials,FALSE,15.47,2669.95,7.37,114.02,-14.21,20.38,74.95,0.31,0.07,7.57,46.61,-2.24,0,10.78
NRBBEARING,2660,Auto Components,Automobile and Auto Components,Consumer Discretionary,FALSE,24.26,2635.33,2.92,-2.79,-7.38,574.46,50.67,19.69,14.31,12.77,37.51,-15.82,0.04,16.57
MOLDTKPAC,2650,Industrial Products,Capital Goods,Industrials,FALSE,37.16,2661.64,6.87,-12.94,-2.9,-9.5,32.87,19.22,16.03,-1.78,41.9,-17.1,-0.22,19.58
DIACABS,2644,Electrical Equipment,Capital Goods,Industrials,FALSE,,2644.08,4341.48,75.47,-19.57,-322.78,11.41,57.91,0.77,,100,46.14,0,-11.35
PCJEWELLER,2620,Consumer Durables,Consumer Durables,Consumer Discretionary,FALSE,,2622.55,-95.31,-223.92,-91.08,-43.33,54.53,1.45,0.78,-46,46.84,1.37,0,5.33
NILKAMAL,2619,Consumer Durables,Consumer Durables,Consumer Discretionary,FALSE,19.4,2618.46,6.52,-11.69,3.59,17.25,64.54,20.01,1.16,5.14,27.89,-63.28,0,13.32
SHALBY,2617,Healthcare Services,Healthcare,Healthcare,FALSE,32.26,2624.1,6.71,24.74,-9.22,-30.87,74.12,0,4.62,15.89,40.13,-16.07,0,10.55
STYLAMIND,2610,Consumer Durables,Consumer Durables,Consumer Discretionary,FALSE,22.14,2604.66,-8.29,30.45,-8.28,-1.32,54.61,12.02,3.8,4.04,45.95,-24.32,0,31.85
CARYSIL,2592,Consumer Durables,Consumer Durables,Consumer Discretionary,FALSE,47.15,2583.18,36.4,27.22,14.89,-1.79,43.84,7.31,0.64,12.45,51.42,-2.86,0,17.84
ACCELYA,2590,IT - Software,Information Technology,Information Technology,FALSE,21.13,2586.4,11.24,22.69,-2,-1.9,74.66,0.44,0.27,17.14,46.77,-32.01,0,56.12
QUICKHEAL,2582,IT - Software,Information Technology,Information Technology,FALSE,725.7,2583.49,22.63,208.29,4.54,-22.02,72.76,1.44,1.66,-12.63,44.69,6.87,-0.3,0.17
