,Company Name,Industry,Symbol,Series,ISIN Code,Ticker,Name,Weight,Shares,Price
304,Ratnamani Metals & Tubes Ltd,Capital Goods,RATNAMANI,EQ,INE703B01027,RMT IS Equity,Ratnamani Metals & Tubes Ltd,--,--,3602.95
305,RattanIndia Enterprises Ltd,Consumer Services,RTNINDIA,EQ,INE834M01019,RATI IS Equity,RattanIndia Enterprises Ltd,--,--,81.84
306,Raymond Ltd,Textiles,RAYMOND,EQ,INE301A01014,RW IS Equity,Raymond Ltd,--,--,3229.5
307,Redington Ltd,Services,REDINGTON,EQ,INE891D01026,REDI IS Equity,Redington Ltd,--,--,215.44
308,Reliance Industries Ltd,Oil Gas & Consumable Fuels,RELIANCE,EQ,INE002A01018,RELIANCE IS Equity,Reliance Industries Ltd,--,--,3177.25
309,Restaurant Brands Asia Ltd,Consumer Services,RBA,EQ,INE07T201019,RBA IS Equity,Restaurant Brands Asia Ltd,--,--,113.53
310,Route Mobile Ltd,Telecommunication,ROUTE,EQ,INE450U01017,ROUTE IS Equity,Route Mobile Ltd,--,--,1765.2
311,SBFC Finance Ltd,Financial Services,SBFC,EQ,INE423Y01016,SBFC IS Equity,SBFC Finance Ltd,--,--,83.46
312,SJVN Ltd,Power,SJVN,EQ,INE002L01015,SJVN IS Equity,SJVN Ltd,--,--,142.17
313,SKF India Ltd,Capital Goods,SKFINDIA,EQ,INE640A01023,SKF IS Equity,SKF India Ltd,--,--,6389.8501
314,SRF Ltd,Chemicals,SRF,EQ,INE647A01010,SRF IS Equity,SRF Ltd,--,--,2400.75
315,Samvardhana Motherson International Ltd,Automobile and Auto Components,MOTHERSON,EQ,INE775A01035,MOTHERSO IS Equity,Samvardhana Motherson International Ltd,--,--,205.0
316,Sanofi India Ltd,Healthcare,SANOFI,EQ,INE058A01010,SANL IS Equity,Sanofi India Ltd,--,--,6577.9502
317,Sapphire Foods India Ltd,Consumer Services,SAPPHIRE,EQ,INE806T01012,SAPPHIRE IS Equity,Sapphire Foods India Ltd,--,--,1582.4
