,Open,High,Low,Close,Adj Close,Volume,Year,Outstanding_Shares
0,712.0,726.9000244140625,675.2999877929688,682.0,594.513671875,1309319,2014,50.998
1,683.4000244140625,717.0,683.0,706.5999755859375,615.9580078125,1004518,2014,50.998
2,716.0,782.6500244140625,710.0,768.9500122070312,670.3099365234375,3786932,2014,50.998
3,773.9000244140625,788.7999877929688,728.4000244140625,750.1500244140625,653.9215698242188,7797212,2014,50.998
4,748.0,801.2999877929688,744.0,793.7000122070312,691.885009765625,3917072,2014,50.998
5,783.0,797.7999877929688,780.0999755859375,786.5,685.608642578125,1253318,2014,50.998
6,750.0,897.0,745.0999755859375,848.4000244140625,739.568115234375,9885185,2014,50.998
7,852.5,859.9500122070312,836.25,841.0499877929688,733.1610717773438,2354493,2014,50.998
8,844.7000122070312,856.6500244140625,830.0,843.2000122070312,735.0352172851562,1550329,2014,50.998
9,846.0999755859375,870.0,843.5,858.3499755859375,748.2416381835938,1791671,2014,50.998
10,861.3499755859375,862.9500122070312,811.7000122070312,832.9000244140625,726.0564575195312,1010501,2014,50.998
11,833.0,845.7999877929688,808.25,815.7000122070312,711.0629272460938,670632,2014,50.998
12,819.9000244140625,844.9500122070312,816.0499877929688,826.4500122070312,720.433837890625,856886,2014,50.998
13,827.4000244140625,828.0,805.75,808.7000122070312,704.9607543945312,690615,2014,50.998
14,805.0,808.6500244140625,775.75,779.3499755859375,679.375732421875,564564,2014,50.998
15,778.2000122070312,790.7999877929688,759.0,764.5999755859375,666.517822265625,755804,2014,50.998
16,765.4000244140625,813.0999755859375,765.4000244140625,804.7000122070312,701.4739990234375,1256185,2014,50.998
17,807.2999877929688,817.7000122070312,780.0499877929688,786.5,685.608642578125,654983,2014,50.998
18,793.0999755859375,835.6500244140625,791.9500122070312,829.5,723.0926513671875,1594081,2014,50.998
19,822.0,828.5,802.0999755859375,808.75,705.00439453125,825702,2014,50.998
20,816.0,837.2999877929688,816.0,824.1500244140625,718.4288330078125,660329,2014,50.998
21,829.9000244140625,831.0,807.0,813.5499877929688,709.1885986328125,506040,2014,50.998
22,813.7999877929688,819.4000244140625,784.5999755859375,789.1500244140625,687.918701171875,528650,2014,50.998
23,779.2000122070312,808.7999877929688,770.0999755859375,794.3499755859375,692.4515991210938,634505,2014,50.998
24,799.2000122070312,825.0,799.2000122070312,819.4500122070312,714.3318481445312,533112,2014,50.998
25,827.9000244140625,850.0,827.9000244140625,845.8499755859375,737.34521484375,1320106,2014,50.998
26,838.0999755859375,849.4500122070312,828.0,835.8499755859375,728.6280517578125,502996,2014,50.998
27,838.7000122070312,873.4000244140625,838.2000122070312,851.1500244140625,741.9653930664062,1221458,2014,50.998
28,854.7999877929688,872.0,840.0,860.5499877929688,750.1594848632812,1214178,2014,50.998
29,848.4000244140625,860.0,827.0499877929688,832.0999755859375,725.3590698242188,582306,2014,50.998
30,833.7999877929688,835.0,806.6500244140625,815.8499755859375,711.1936645507812,371270,2014,50.998
31,819.0,864.5,817.0499877929688,855.7999877929688,746.018798828125,3782222,2014,50.998
32,865.0,876.2999877929688,840.0999755859375,844.5999755859375,736.2555541992188,1381851,2014,50.998
33,850.0,861.7000122070312,840.0,852.3499755859375,743.0114135742188,468616,2014,50.998
34,854.0,863.7999877929688,843.5999755859375,855.6500244140625,745.8881225585938,590628,2014,50.998
35,851.0499877929688,857.0,840.0,842.4500122070312,734.3814086914062,350904,2014,50.998
36,834.0,841.7999877929688,821.25,828.0,721.7849731445312,393077,2014,50.998
37,827.0,849.7000122070312,827.0,837.6500244140625,730.1971435546875,458489,2014,50.998
38,831.0499877929688,836.0,795.0499877929688,818.0,713.0677490234375,697307,2014,50.998
39,816.0999755859375,832.0,786.1500244140625,811.4500122070312,707.3580932617188,1339349,2014,50.998
40,803.2999877929688,825.0,802.0,816.25,711.542236328125,439901,2014,50.998
41,818.9000244140625,828.5,815.5,819.4000244140625,716.9231567382812,326155,2014,50.998
42,820.1500244140625,823.9000244140625,811.0999755859375,813.0,711.3236083984375,243176,2014,50.998
43,808.0,832.0,805.0999755859375,818.4500122070312,716.0919799804688,338356,2014,50.998
44,834.2999877929688,852.0,796.6500244140625,806.0999755859375,705.2864379882812,822479,2014,50.998
45,814.0499877929688,825.0,806.0,819.75,717.2293701171875,388754,2014,50.998
46,840.0,858.0,832.25,846.6500244140625,740.76513671875,769087,2014,50.998
