Date,Year,Adj Close,Volume,Symbol,Outstanding_Shares
2014-01-01,2014,429.1,1411814,MCX.NS,50.998
2014-01-02,2014,424.3,2919045,MCX.NS,50.998
2014-01-03,2014,499.6,8191055,MCX.NS,50.998
2014-01-06,2014,497.8,8395828,MCX.NS,50.998
2014-01-07,2014,517.0,6823517,MCX.NS,50.998
2014-01-08,2014,519.9,5541141,MCX.NS,50.998
2014-01-09,2014,512.1,3886247,MCX.NS,50.998
2014-01-10,2014,459.4,3386795,MCX.NS,50.998
2014-01-13,2014,470.4,2633781,MCX.NS,50.998
2014-01-14,2014,455.0,2034314,MCX.NS,50.998
2014-01-15,2014,446.1,1600249,MCX.NS,50.998
2014-01-16,2014,438.1,1588791,MCX.NS,50.998
2014-01-17,2014,411.8,1854014,MCX.NS,50.998
2014-01-20,2014,456.9,4469615,MCX.NS,50.998
2014-01-21,2014,467.0,3557216,MCX.NS,50.998
2014-01-22,2014,461.6,1522016,MCX.NS,50.998
2014-01-23,2014,441.5,1444918,MCX.NS,50.998
2014-01-24,2014,421.4,1086467,MCX.NS,50.998
2014-01-27,2014,427.3,2888370,MCX.NS,50.998
2014-01-28,2014,428.0,1533685,MCX.NS,50.998
2014-01-29,2014,423.0,977666,MCX.NS,50.998
2014-01-30,2014,418.2,1069140,MCX.NS,50.998
2014-01-31,2014,435.6,1536450,MCX.NS,50.998
2014-02-03,2014,427.0,925164,MCX.NS,50.998
2014-02-04,2014,437.9,1372741,MCX.NS,50.998
2014-02-05,2014,440.8,1688588,MCX.NS,50.998
2014-02-06,2014,442.2,954145,MCX.NS,50.998
2014-02-07,2014,444.8,1372624,MCX.NS,50.998
2014-02-10,2014,447.0,1191188,MCX.NS,50.998
2014-02-11,2014,427.7,1112564,MCX.NS,50.998
2014-02-12,2014,433.7,775363,MCX.NS,50.998
2014-02-13,2014,416.0,837134,MCX.NS,50.998
2014-02-14,2014,427.0,1445381,MCX.NS,50.998
2014-02-17,2014,442.4,1829613,MCX.NS,50.998
2014-02-18,2014,450.5,1469172,MCX.NS,50.998
2014-02-19,2014,473.4,3577702,MCX.NS,50.998
2014-02-20,2014,470.7,3282978,MCX.NS,50.998
2014-02-21,2014,448.9,2185725,MCX.NS,50.998
2014-02-24,2014,438.0,1760355,MCX.NS,50.998
2014-02-25,2014,459.5,2436844,MCX.NS,50.998
2014-02-26,2014,456.8,1701705,MCX.NS,50.998
2014-02-28,2014,458.5,1425841,MCX.NS,50.998
2014-03-03,2014,443.6,1040955,MCX.NS,50.998
2014-03-04,2014,457.8,896536,MCX.NS,50.998
2014-03-05,2014,465.2,1622452,MCX.NS,50.998
2014-03-06,2014,473.4,1727812,MCX.NS,50.998
2014-03-07,2014,455.1,1512821,MCX.NS,50.998
2014-03-10,2014,465.6,1078705,MCX.NS,50.998
2014-03-11,2014,454.1,730365,MCX.NS,50.998
2014-03-12,2014,471.9,2096667,MCX.NS,50.998
2014-03-13,2014,450.5,1234042,MCX.NS,50.998
2014-03-14,2014,430.8,1811826,MCX.NS,50.998
2014-03-18,2014,443.7,1086224,MCX.NS,50.998
2014-03-19,2014,439.0,580699,MCX.NS,50.998
2014-03-20,2014,441.0,714468,MCX.NS,50.998
2014-03-21,2014,435.5,444853,MCX.NS,50.998
2014-03-24,2014,428.5,531627,MCX.NS,50.998
2014-03-25,2014,435.0,497968,MCX.NS,50.998
2014-03-26,2014,425.5,521779,MCX.NS,50.998
2014-03-27,2014,428.5,460612,MCX.NS,50.998
2014-03-28,2014,425.2,300657,MCX.NS,50.998
2014-03-31,2014,430.7,556633,MCX.NS,50.998
2014-04-01,2014,429.0,267391,MCX.NS,50.998
2014-04-02,2014,456.8,1583319,MCX.NS,50.998
2014-04-03,2014,443.7,1100898,MCX.NS,50.998
2014-04-04,2014,441.5,554406,MCX.NS,50.998
2014-04-07,2014,447.0,889115,MCX.NS,50.998
2014-04-09,2014,464.5,1178972,MCX.NS,50.998
2014-04-10,2014,485.1,3360922,MCX.NS,50.998
2014-04-11,2014,490.3,4266439,MCX.NS,50.998
2014-04-15,2014,509.3,4226556,MCX.NS,50.998
2014-04-16,2014,532.3,3482873,MCX.NS,50.998
2014-04-17,2014,514.8,2080146,MCX.NS,50.998
2014-04-21,2014,521.7,2548722,MCX.NS,50.998
2014-04-22,2014,505.2,1222879,MCX.NS,50.998
2014-04-23,2014,493.3,856065,MCX.NS,50.998
2014-04-24,2014,493.3,0,MCX.NS,50.998
2014-04-25,2014,497.6,1265135,MCX.NS,50.998
2014-04-28,2014,488.6,399987,MCX.NS,50.998
2014-04-29,2014,500.4,1780510,MCX.NS,50.998
2014-04-30,2014,465.5,1107640,MCX.NS,50.998
2014-05-02,2014,474.9,931643,MCX.NS,50.998
2014-05-05,2014,457.9,622965,MCX.NS,50.998
2014-05-06,2014,473.8,2083070,MCX.NS,50.998
2014-05-07,2014,464.3,2417488,MCX.NS,50.998
2014-05-08,2014,433.4,2697309,MCX.NS,50.998
2014-05-09,2014,445.1,1168259,MCX.NS,50.998
