,Code,Company,SecurityID,MarketCapFull,MarketCapFreeFloat,Industry
53,500117,DCW LTD.,DCW,"1,673.53 Cr.",903.71 Cr.,Chemicals
54,500119,DHAMPUR SUGAR MILLS LTD.,DHAMPURSUG,"1,537.26 Cr.",784.00 Cr.,Fast Moving Consumer Goods
55,500120,DIAMINES & CHEMICALS LTD.,DIAMINESQ,565.12 Cr.,243.00 Cr.,Chemicals
56,500123,ELANTAS BECK INDIA LTD.,ELANTAS,"8,646.88 Cr.","2,161.72 Cr.",Chemicals
57,500124,DR.REDDY'S LABORATORIES LTD.,DRREDDY,"1,04,310.75 Cr.","76,146.85 Cr.",Healthcare
58,500125,E.I.D.-PARRY (INDIA) LTD.,EIDPARRY,"11,133.90 Cr.","6,346.32 Cr.",Chemicals
59,500126,Procter & Gamble Health Ltd,PGHL,"7,842.21 Cr.","3,764.26 Cr.",Healthcare
60,500128,ELECTROSTEEL CASTINGS LTD.,ELECTCAST,"11,481.83 Cr.","6,429.82 Cr.",Capital Goods
61,500133,ESAB INDIA LTD.,ESABINDIA,"8,046.24 Cr.","2,092.02 Cr.",Capital Goods
62,500135,EPL Ltd,EPL,"5,780.17 Cr.","2,369.87 Cr.",Capital Goods
63,500136,ESTER INDUSTRIES LTD.,ESTER,"1,021.74 Cr.",255.44 Cr.,Capital Goods
64,500142,FGP LTD.,FGP,9.04 Cr.,5.33 Cr.,Financial Services
65,500143,PH CAPITAL LTD.,PHCAP,44.91 Cr.,12.13 Cr.,Financial Services
66,500144,FINOLEX CABLES LTD.,FINCABLES,"15,358.93 Cr.","7,525.88 Cr.",Capital Goods
67,500147,John Cockerill India Ltd,COCKERILL,"1,839.01 Cr.",459.75 Cr.,Capital Goods
68,500148,UFLEX LTD.,UFLEX,"3,315.23 Cr.",994.57 Cr.,Capital Goods
69,500150,FOSECO INDIA LTD.,FOSECOIND,"2,310.01 Cr.",300.30 Cr.,Chemicals
70,500151,GOLDEN TOBACCO LTD.,GOLDENTOBC,79.86 Cr.,35.94 Cr.,Realty
71,500153,GANESH BENZOPLAST LTD.,GANESHBE,"1,240.74 Cr.",521.11 Cr.,"Oil, Gas & Consumable Fuels"
72,500159,Metroglobal Limited,METROGLOBL,182.49 Cr.,43.80 Cr.,Services
73,500160,GTL LTD.,GTL,167.36 Cr.,143.93 Cr.,Telecommunication
74,500163,GODFREY PHILLIPS INDIA LTD.,GODFRYPHLP,"17,225.07 Cr.","4,650.77 Cr.",Fast Moving Consumer Goods
